!CSV A.01.01
!Agilent Technologies,E8363C,SG49030112,A.09.42.10
!Agilent E8363C: A.09.42.10
!Date: Friday, June 11, 2021 09:13:45
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
200000000,0.96604574,-0.094054148
205369121.6403,0.96304518,-0.087161496
210882380.61654,0.96339834,-0.080643997
216543646.38317,0.96479785,-0.074957594
222356892.27249,0.96624035,-0.073022
228326198.28334,0.96766746,-0.074324928
234455753.94459,0.96662146,-0.081369609
240749861.25557,0.96304613,-0.09128125
247212937.7054,0.95670998,-0.10332701
253849519.37338,0.94672626,-0.11145055
260664264.11261,0.93506008,-0.11408632
267661954.81911,0.92605877,-0.10792529
274847502.78863,0.92158669,-0.094786316
282225951.16365,0.92523956,-0.077207237
289802478.47288,0.93605691,-0.059061944
297582402.26578,0.95098025,-0.041823123
305571182.84467,0.9661628,-0.030707926
313774427.09698,0.97581738,-0.024068177
322197892.43048,0.97656816,-0.023873586
330847490.81401,0.96838081,-0.023777194
339729292.92685,0.95363683,-0.022950355
348849532.41933,0.93987876,-0.021925265
358214610.28794,0.93196499,-0.024430914
367831099.36777,0.93898314,-0.031570848
377705748.94573,0.95323336,-0.051071797
387845489.49737,0.96223396,-0.088582136
398257437.55113,0.93916339,-0.12189869
408948900.68296,0.91521901,-0.11423143
419927382.64512,0.90943348,-0.086062774
431200588.63269,0.91965246,-0.053501777
442776430.69138,0.93144661,-0.032880116
454663033.27057,0.93580145,-0.024611395
466868738.92545,0.92770612,-0.026012482
479402114.17217,0.91947097,-0.031890988
492271955.5002,0.9190731,-0.050970908
505487295.54614,0.92411435,-0.076259285
519057409.4332,0.94236404,-0.086150147
532991821.28093,0.93544531,-0.09507174
547300310.88963,0.91346788,-0.086333953
561992920.60433,0.92296779,-0.062048923
577079962.36289,0.93279791,-0.060062245
592572024.93341,0.9206903,-0.080058366
608479981.34594,0.89231831,-0.097433813
624814996.5236,0.88207155,-0.101093
641588535.11869,0.9028396,-0.10531944
658812369.55905,0.92272037,-0.11142126
676498588.31053,0.91277277,-0.09577544
694659604.36117,0.89748675,-0.057861909
713308163.93325,0.89687508,-0.041435272
732457355.42913,0.89192402,-0.062901564
752120618.61728,0.89976412,-0.065201335
772311754.06494,0.92302281,-0.059710406
793044932.82397,0.94935507,-0.064650238
814334706.37674,0.94016284,-0.05572034
836196016.84901,0.92953426,-0.04890782
858644207.49698,0.93332791,-0.10555873
881695033.47592,0.90285623,-0.1612455
905364672.89782,0.90596515,-0.13506307
929669738.1859,0.93673497,-0.11443533
954627287.73402,0.89995891,-0.13059606
980254837.87898,0.86438185,-0.14317511
1006570375.1943,0.86919492,-0.17680496
1033592369.114,0.87656713,-0.14883241
1061339784.8953,0.90079176,-0.11144224
1089832096.9292,0.85961795,-0.14032117
1119089302.4088,0.84103394,-0.16079602
1149131935.3637,0.86053354,-0.16101408
1179981081.0723,0.88264722,-0.088296838
1211658390.86,0.88444275,-0.13358235
1244186097.295,0.83663005,-0.16597202
1277587029.7928,0.90163362,-0.16862723
1311884630.6379,0.86424375,-0.13872033
1347102971.4375,0.82986444,-0.16148992
1383266770.0158,0.81138593,-0.17675059
1420401407.7618,0.85927588,-0.14985101
1458532947.4434,0.79920995,-0.13041422
1497688151.4994,0.81465763,-0.15051714
1537894500.8226,0.88585681,-0.13443713
1579180214.0469,0.79332048,-0.16031408
1621574267.3528,0.80970395,-0.2014143
1665106414.8037,0.81732255,-0.19046907
1709807209.2294,0.74967641,-0.18421058
1755708023.6684,0.77784997,-0.21204643
1802841073.388,0.75862443,-0.19358844
1851239438.4938,0.71455723,-0.18224896
1900937087.1467,0.75220078,-0.21103418
1951968899.4039,0.74673814,-0.17351592
2004370691.6988,0.7456907,-0.23766179
2058179241.9787,0.71365488,-0.25784945
2113432315.5173,0.69657284,-0.27171552
2170168691.42,0.70520377,-0.28249347
2228428189.841,0.72019106,-0.2795895
2288251699.9307,0.69054329,-0.31169611
2349681208.5334,0.68112683,-0.29033878
2412759829.6561,0.65773588,-0.30649519
2477531834.7273,0.66532344,-0.30162808
2544042683.6691,0.64483798,-0.321585
2612339056.8028,0.67947924,-0.27257609
2682468887.6112,0.65970606,-0.31982189
2754481396.3807,0.63693589,-0.29057017
2828427124.7462,0.64228785,-0.32015866
2904357971.1636,0.61230206,-0.31451422
2982327227.3343,0.67001688,-0.30000919
3062389615.608,0.66615629,-0.3401902
3144601327.3889,0.56437683,-0.32568911
3229020062.5739,0.5932638,-0.29658619
3315705070.0485,0.62254006,-0.33492458
3404717189.2707,0.57321793,-0.32979897
3496118892.9707,0.5486865,-0.28914154
3589974330.9972,0.59724474,-0.27766681
3686349375.3406,0.60621297,-0.29555669
3785311666.3648,0.58919966,-0.260286
3886930660.2806,0.59192598,-0.23386697
3991277677.8928,0.57874984,-0.19354111
4098425954.6569,0.54637223,-0.20681055
4208450692.0784,0.53569508,-0.23531334
4321429110.4932,0.51343876,-0.25063145
