"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+007, +9.89388015507E-001, -6.33002828492E-002
+5.11853458461E+007, +9.88869352094E-001, -6.53349246802E-002
+5.23706916923E+007, +9.88315451008E-001, -6.73958695088E-002
+5.35560375384E+007, +9.87776162849E-001, -6.95126491146E-002
+5.47413833845E+007, +9.87200328346E-001, -7.16518017873E-002
+5.59267292306E+007, +9.86611612698E-001, -7.38324751786E-002
+5.71120750768E+007, +9.86012176761E-001, -7.60119790734E-002
+5.82974209229E+007, +9.85386629992E-001, -7.82117416172E-002
+5.94827667690E+007, +9.84773932079E-001, -8.04247356361E-002
+6.06681126151E+007, +9.84133710368E-001, -8.26399234241E-002
+6.18534584613E+007, +9.83471453697E-001, -8.48546055514E-002
+6.30388043074E+007, +9.82820635390E-001, -8.70892534793E-002
+6.42241501535E+007, +9.82169078783E-001, -8.93036911527E-002
+6.54094959996E+007, +9.81503175395E-001, -9.15266861614E-002
+6.65948418458E+007, +9.80852578269E-001, -9.37578330119E-002
+6.79722033673E+007, +9.80101906808E-001, -9.63657843585E-002
+6.96010170503E+007, +9.79210978480E-001, -9.94259679782E-002
+7.12298307333E+007, +9.78329490330E-001, -1.02474296435E-001
+7.28586444162E+007, +9.77447979283E-001, -1.05516615475E-001
+7.44874580992E+007, +9.76560042748E-001, -1.08547189047E-001
+7.61162717822E+007, +9.75671048480E-001, -1.11544028015E-001
+7.77450854652E+007, +9.74776019099E-001, -1.14507340314E-001
+7.93738991482E+007, +9.73912035645E-001, -1.17399191457E-001
+8.10027128312E+007, +9.73038091687E-001, -1.20256018650E-001
+8.26315265142E+007, +9.72216685001E-001, -1.23092018958E-001
+8.42603401972E+007, +9.71408273797E-001, -1.25914274383E-001
+8.58891538801E+007, +9.70604222325E-001, -1.28701480899E-001
+8.75179675631E+007, +9.69830918883E-001, -1.31439545831E-001
+8.91467812461E+007, +9.69101057110E-001, -1.34113437667E-001
+9.07755949291E+007, +9.68375158619E-001, -1.36779912659E-001
+9.24044086121E+007, +9.67704262797E-001, -1.39348057117E-001
+9.43155818098E+007, +9.66951298269E-001, -1.42363002337E-001
+9.65515134723E+007, +9.66134558918E-001, -1.45733041843E-001
+9.87874451347E+007, +9.65352826908E-001, -1.48989141715E-001
+1.01023376797E+008, +9.64639601703E-001, -1.52266402431E-001
+1.03259308460E+008, +9.63992342873E-001, -1.55532046760E-001
+1.05495240122E+008, +9.63416036567E-001, -1.58683547215E-001
+1.07731171785E+008, +9.62913809282E-001, -1.61711803168E-001
+1.09967103447E+008, +9.62461411232E-001, -1.64592214360E-001
+1.12203035110E+008, +9.62059783162E-001, -1.67380863868E-001
+1.14438966772E+008, +9.61723327614E-001, -1.70084690890E-001
+1.16674898434E+008, +9.61429912337E-001, -1.72698859173E-001
+1.18910830097E+008, +9.61181532022E-001, -1.75201729586E-001
+1.21146761759E+008, +9.60936688072E-001, -1.77603584984E-001
+1.23382693422E+008, +9.60775003202E-001, -1.79883320547E-001
+1.25618625084E+008, +9.60621036425E-001, -1.82124118342E-001
+1.28216758150E+008, +9.60459628394E-001, -1.84744363048E-001
+1.31289208353E+008, +9.60273179024E-001, -1.87722614231E-001
+1.34361658556E+008, +9.60061590118E-001, -1.90614284289E-001
+1.37434108760E+008, +9.59838893911E-001, -1.93353988271E-001
+1.40506558963E+008, +9.59600762222E-001, -1.95973917530E-001
+1.43579009167E+008, +9.59316422231E-001, -1.98566620025E-001
+1.46651459370E+008, +9.58970292752E-001, -2.01214776461E-001
+1.49723909573E+008, +9.58551994657E-001, -2.03918276389E-001
+1.52796359777E+008, +9.58026345649E-001, -2.06721411073E-001
+1.55868809980E+008, +9.57367421209E-001, -2.09565975192E-001
+1.58941260184E+008, +9.56627214864E-001, -2.12384519821E-001
+1.62013710387E+008, +9.55798808193E-001, -2.15134230143E-001
+1.65086160591E+008, +9.54861130595E-001, -2.17950983171E-001
+1.68158610794E+008, +9.53794904266E-001, -2.20883751569E-001
+1.71231060997E+008, +9.52611767218E-001, -2.23993674395E-001
+1.74303511201E+008, +9.51298171354E-001, -2.27319910329E-001
+1.77908579442E+008, +9.49612953164E-001, -2.31418032400E-001
+1.82126243355E+008, +9.47434757933E-001, -2.36407290367E-001
+1.86343907268E+008, +9.45006411183E-001, -2.41142763497E-001
+1.90561571180E+008, +9.42427842256E-001, -2.46034979761E-001
+1.94779235093E+008, +9.39775613659E-001, -2.50945320215E-001
+1.98996899006E+008, +9.37213835808E-001, -2.55516324376E-001
+2.03214562918E+008, +9.34933275462E-001, -2.59810516438E-001
+2.07432226831E+008, +9.32941251895E-001, -2.62991489903E-001
+2.11649890744E+008, +9.30587458333E-001, -2.66249262216E-001
+2.15867554656E+008, +9.27928093404E-001, -2.70795306600E-001
+2.20085218569E+008, +9.25253462546E-001, -2.75988554582E-001
+2.24302882482E+008, +9.22758803532E-001, -2.81304575632E-001
+2.28520546394E+008, +9.20494347657E-001, -2.86389369958E-001
