!CSV A.01.01
!Agilent Technologies,E8363C,SG49030112,A.09.42.10
!Agilent E8363C: A.09.42.10
!Date: Friday, June 11, 2021 09:12:42
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
200000000,0.96981907,-0.078745008
205369121.6403,0.96711469,-0.071433991
210882380.61654,0.96730423,-0.064457364
216543646.38317,0.96901441,-0.058502816
222356892.27249,0.97052419,-0.055504967
228326198.28334,0.97215891,-0.056117851
234455753.94459,0.97163033,-0.062615052
240749861.25557,0.96886659,-0.071934767
247212937.7054,0.96280968,-0.083599262
253849519.37338,0.95337826,-0.09189789
260664264.11261,0.94191378,-0.094532132
267661954.81911,0.93228346,-0.088066325
274847502.78863,0.92751724,-0.07471671
282225951.16365,0.93084943,-0.05673448
289802478.47288,0.94133997,-0.037879523
297582402.26578,0.95625788,-0.019806752
305571182.84467,0.97137868,-0.007247861
313774427.09698,0.98178804,0.00051944162
322197892.43048,0.98312676,0.0013975619
330847490.81401,0.97547352,0.0016279313
339729292.92685,0.96109563,0.0031379166
348849532.41933,0.94754225,0.0043978007
358214610.28794,0.93987584,0.0024724582
367831099.36777,0.94741589,-0.0038270326
377705748.94573,0.96297747,-0.021843001
387845489.49737,0.97350794,-0.059193552
398257437.55113,0.95138633,-0.093520373
408948900.68296,0.92744738,-0.086273879
419927382.64512,0.92066592,-0.057562072
431200588.63269,0.93086058,-0.023567788
442776430.69138,0.94313657,-0.00096452731
454663033.27057,0.94813037,0.0085791945
466868738.92545,0.94143188,0.0078124702
479402114.17217,0.93351585,0.0027565258
492271955.5002,0.93444169,-0.015405893
505487295.54614,0.94099146,-0.039742529
519057409.4332,0.96005303,-0.048991811
532991821.28093,0.95407212,-0.058762342
547300310.88963,0.93168586,-0.050386153
561992920.60433,0.94112349,-0.023948662
577079962.36289,0.95337862,-0.019275697
592572024.93341,0.94454098,-0.039497711
608479981.34594,0.91678739,-0.058659252
624814996.5236,0.9057005,-0.061449252
641588535.11869,0.9274317,-0.064355746
658812369.55905,0.94934475,-0.069763206
676498588.31053,0.94057775,-0.054139122
694659604.36117,0.92429042,-0.01523942
713308163.93325,0.92478627,0.0048205308
732457355.42913,0.92324781,-0.015582956
752120618.61728,0.93178022,-0.01753688
772311754.06494,0.95477724,-0.010406581
793044932.82397,0.98467875,-0.013848317
814334706.37674,0.9777047,-0.0048421901
836196016.84901,0.96823657,0.0043356307
858644207.49698,0.97855818,-0.051815912
881695033.47592,0.95120853,-0.11341276
905364672.89782,0.95074499,-0.086057201
929669738.1859,0.98645103,-0.061043561
