!CSV A.01.01
!Agilent Technologies,E8363C,SG49030112,A.09.42.10
!Agilent E8363C: A.09.42.10
!Date: Tuesday, October 22, 2019 12:18:01
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
200000000,0.96710467,0.038697738
205369121.6403,0.96355993,0.045341238
210882380.61654,0.96348959,0.052075222
216543646.38317,0.96422511,0.057779863
222356892.27249,0.9655785,0.059674587
228326198.28334,0.9673059,0.05804342
234455753.94459,0.96749097,0.050703753
240749861.25557,0.96520406,0.040391278
247212937.7054,0.96012491,0.027808258
253849519.37338,0.95143944,0.018998457
260664264.11261,0.94038749,0.016040668
267661954.81911,0.93102086,0.022267384
274847502.78863,0.92566353,0.03590773
282225951.16365,0.92780858,0.054926313
289802478.47288,0.93662947,0.074973121
297582402.26578,0.94969821,0.094565988
305571182.84467,0.96269196,0.10781578
313774427.09698,0.9707908,0.11564226
322197892.43048,0.9705689,0.11611245
330847490.81401,0.96200705,0.11539153
339729292.92685,0.9473725,0.11433748
348849532.41933,0.93437994,0.11333004
358214610.28794,0.92759573,0.10957131
367831099.36777,0.93626589,0.10353846
377705748.94573,0.9534747,0.087677702
387845489.49737,0.96843868,0.054253973
398257437.55113,0.95156294,0.020022703
408948900.68296,0.92754263,0.026060497
419927382.64512,0.91836345,0.054355863
431200588.63269,0.92393768,0.088521972
442776430.69138,0.93197757,0.10958847
454663033.27057,0.93411684,0.11685884
466868738.92545,0.92600375,0.11398995
479402114.17217,0.91993743,0.10644461
492271955.5002,0.92489678,0.088283762
505487295.54614,0.93538088,0.06498532
519057409.4332,0.95558041,0.060390271
532991821.28093,0.95015597,0.054635845
547300310.88963,0.92798477,0.062273469
561992920.60433,0.93461716,0.087352902
577079962.36289,0.94370574,0.087519199
592572024.93341,0.93292928,0.063539967
608479981.34594,0.90827948,0.043638248
624814996.5236,0.90379512,0.041262623
641588535.11869,0.92907214,0.042339884
658812369.55905,0.94841433,0.041243989
676498588.31053,0.93306667,0.059435032
694659604.36117,0.91326535,0.094767258
713308163.93325,0.91296393,0.10594101
732457355.42913,0.91234201,0.08089745
752120618.61728,0.92328149,0.085283913
772311754.06494,0.94979459,0.10072899
793044932.82397,0.97578436,0.10147913
814334706.37674,0.9623037,0.10976031
836196016.84901,0.9571802,0.11099266
858644207.49698,0.97433543,0.047664482
881695033.47592,0.95170087,-0.0036904532
905364672.89782,0.95649201,0.033371154
929669738.1859,0.98446643,0.052538961
954627287.73402,0.94514191,0.023540528
980254837.87898,0.92093402,0.0046305791
1006570375.1943,0.93448734,-0.023717636
1033592369.114,0.93698859,0.017419655
1061339784.8953,0.95699984,0.049587827
1089832096.9292,0.9180007,0.0044564758
1119089302.4088,0.91547281,-0.012406721
1149131935.3637,0.93208474,0.0032546017
1179981081.0723,0.9449169,0.07943476
1211658390.86,0.95098692,0.01155749
1244186097.295,0.92259002,-0.0055566169
1277587029.7928,0.99451917,0.004421975
1311884630.6379,0.93826318,0.021634331
1347102971.4375,0.91767985,-0.026016084
1383266770.0158,0.91327518,-0.01856276
1420401407.7618,0.94903016,0.0053923265
1458532947.4434,0.88352233,0.006671879
1497688151.4994,0.92209548,0.00091644569
1537894500.8226,0.99178952,0.023170182
1579180214.0469,0.88902211,-0.027911937
1621574267.3528,0.94616073,-0.075576864
1665106414.8037,0.93657392,-0.056627501
1709807209.2294,0.86300391,-0.081314206
1755708023.6684,0.92371255,-0.11613128
1802841073.388,0.87832969,-0.091913156
1851239438.4938,0.8530311,-0.09434323
1900937087.1467,0.87680286,-0.12775998
1951968899.4039,0.8922962,-0.10011032
2004370691.6988,0.9116413,-0.16495863
2058179241.9787,0.87010849,-0.18861359
2113432315.5173,0.86000472,-0.22181353
2170168691.42,0.86915982,-0.23626271
2228428189.841,0.90114385,-0.23830929
2288251699.9307,0.88352865,-0.28371269
2349681208.5334,0.87451851,-0.23664701
2412759829.6561,0.86022198,-0.27008131
2477531834.7273,0.85071146,-0.24480234
2544042683.6691,0.84334016,-0.30413136
2612339056.8028,0.87225664,-0.24149124
2682468887.6112,0.88911831,-0.28561589
2754481396.3807,0.83560199,-0.3027595
2828427124.7462,0.85816574,-0.29245585
2904357971.1636,0.81799757,-0.35429752
2982327227.3343,0.82183987,-0.35766205
3062389615.608,0.86652178,-0.37293643
3144601327.3889,0.76223785,-0.39906317
3229020062.5739,0.75360954,-0.34676355
3315705070.0485,0.82663029,-0.37984234
3404717189.2707,0.79872811,-0.39671701
3496118892.9707,0.73692709,-0.37259614
3589974330.9972,0.74279165,-0.37399122
3686349375.3406,0.75167269,-0.35693184
3785311666.3648,0.77846259,-0.37528062
3886930660.2806,0.75609452,-0.39952824
3991277677.8928,0.74690771,-0.43043229
4098425954.6569,0.65210646,-0.46571121
4208450692.0784,0.63998884,-0.51743859
4321429110.4932,0.64595878,-0.52885234
4437440503.264,0.62648124,-0.50428712
4556566292.4321,0.67663205,-0.49325621
4678890085.8628,0.71842295,-0.47810456
4804497735.9257,0.72880346,-0.44342873
4933477399.7493,0.77091593,-0.43744975
5065919601.0939,0.70579886,-0.50159979
5201917293.8851,0.71116883,-0.48256314
5341565927.4533,0.67279905,-0.44530433
5484963513.5241,0.6267612,-0.50291157
