!CSV A.01.01
!Agilent Technologies,E8363C,SG49030112,A.09.42.10
!Agilent E8363C: A.09.42.10
!Date: Tuesday, October 22, 2019 12:59:21
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
200000000,0.20507358,-0.076960862
205369121.6403,0.20139533,-0.072909042
210882380.61654,0.19717354,-0.070186853
216543646.38317,0.1921591,-0.068555087
222356892.27249,0.18639307,-0.068468697
228326198.28334,0.18057267,-0.069840409
234455753.94459,0.17502058,-0.072786435
240749861.25557,0.17062642,-0.076591536
247212937.7054,0.16805257,-0.081193224
253849519.37338,0.16745734,-0.085361838
260664264.11261,0.1690975,-0.088744901
267661954.81911,0.17302024,-0.09046942
274847502.78863,0.17868239,-0.090212166
282225951.16365,0.18550985,-0.087790325
289802478.47288,0.19221532,-0.083529003
297582402.26578,0.1975548,-0.077415042
305571182.84467,0.20033218,-0.070185289
313774427.09698,0.19978033,-0.062883243
322197892.43048,0.19559315,-0.056941014
330847490.81401,0.18875043,-0.053106334
339729292.92685,0.18019181,-0.05231278
348849532.41933,0.17191067,-0.054599885
358214610.28794,0.16580497,-0.060050502
367831099.36777,0.16505148,-0.068027817
377705748.94573,0.16902556,-0.077710107
387845489.49737,0.17495744,-0.08875569
398257437.55113,0.17697033,-0.095159143
408948900.68296,0.18025799,-0.090972632
419927382.64512,0.18424627,-0.080354087
431200588.63269,0.18592043,-0.067971326
442776430.69138,0.18208532,-0.057672817
454663033.27057,0.17401683,-0.052283164
466868738.92545,0.16418985,-0.054264955
479402114.17217,0.15735371,-0.063237213
492271955.5002,0.15610114,-0.07709273
505487295.54614,0.16123484,-0.089801148
519057409.4332,0.17472211,-0.094998173
532991821.28093,0.18405634,-0.092632122
547300310.88963,0.18398815,-0.083544336
561992920.60433,0.18038997,-0.071909346
577079962.36289,0.16891089,-0.067034751
592572024.93341,0.15554963,-0.072146848
608479981.34594,0.14926831,-0.086220525
624814996.5236,0.15539475,-0.10060731
641588535.11869,0.17042173,-0.10724606
658812369.55905,0.18366113,-0.099669144
676498588.31053,0.18470724,-0.082230642
694659604.36117,0.17215954,-0.068249613
713308163.93325,0.15444361,-0.071028315
732457355.42913,0.14692594,-0.08812172
752120618.61728,0.16299371,-0.10264935
772311754.06494,0.1849519,-0.10479669
793044932.82397,0.1935399,-0.092458181
814334706.37674,0.1813232,-0.079068333
836196016.84901,0.15975164,-0.087272689
858644207.49698,0.15089652,-0.11515643
881695033.47592,0.16528288,-0.1328111
905364672.89782,0.1858919,-0.12352377
929669738.1859,0.17974821,-0.10326577
954627287.73402,0.15008973,-0.10195021
980254837.87898,0.13813141,-0.12778009
1006570375.1943,0.15940112,-0.14528915
1033592369.114,0.18189006,-0.12656182
1061339784.8953,0.16634813,-0.10562763
1089832096.9292,0.13632473,-0.12123828
1119089302.4088,0.14765558,-0.15132362
1149131935.3637,0.17982969,-0.14049497
1179981081.0723,0.17453222,-0.11097431
1211658390.86,0.14347018,-0.12992837
1244186097.295,0.16157901,-0.16416557
1277587029.7928,0.19074626,-0.148756
1311884630.6379,0.15943299,-0.11799867
1347102971.4375,0.12928106,-0.14969575
1383266770.0158,0.16312544,-0.16571747
1420401407.7618,0.16497162,-0.12947945
1458532947.4434,0.12689447,-0.13621508
1497688151.4994,0.15354839,-0.16874559
1537894500.8226,0.16607852,-0.14143774
