!CSV A.01.01
!Agilent Technologies,E8363C,SG49030112,A.09.42.10
!Agilent E8363C: A.09.42.10
!Date: Friday, June 11, 2021 12:19:56
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
200000000,0.77852446,-0.1202999
205369121.6403,0.77605623,-0.11573225
210882380.61654,0.77564126,-0.11177747
216543646.38317,0.77539617,-0.10907342
222356892.27249,0.77446568,-0.10962995
228326198.28334,0.77351707,-0.11277214
234455753.94459,0.76998937,-0.12013597
240749861.25557,0.76524013,-0.1292899
247212937.7054,0.75877613,-0.13970515
253849519.37338,0.75113744,-0.14700775
260664264.11261,0.74365056,-0.15015645
267661954.81911,0.73933548,-0.14681095
274847502.78863,0.73941022,-0.13886139
282225951.16365,0.74592,-0.1276633
289802478.47288,0.75700718,-0.11640333
297582402.26578,0.77059263,-0.10556228
305571182.84467,0.78226537,-0.098504812
313774427.09698,0.78904003,-0.09420491
322197892.43048,0.78754592,-0.093874454
330847490.81401,0.77949935,-0.093535975
339729292.92685,0.76659715,-0.093779393
348849532.41933,0.75435615,-0.094997525
358214610.28794,0.74647081,-0.10029683
367831099.36777,0.75075769,-0.11078934
377705748.94573,0.76085335,-0.13093594
387845489.49737,0.76600385,-0.16432063
398257437.55113,0.74740326,-0.19020504
408948900.68296,0.73245376,-0.18384185
419927382.64512,0.73242331,-0.16258493
431200588.63269,0.74306637,-0.13957402
442776430.69138,0.75088948,-0.12573107
454663033.27057,0.75097638,-0.12081268
466868738.92545,0.74167752,-0.12340304
479402114.17217,0.73352879,-0.13267781
492271955.5002,0.73144466,-0.15314326
505487295.54614,0.73361105,-0.17891333
519057409.4332,0.74977285,-0.19107562
532991821.28093,0.74759895,-0.19801708
547300310.88963,0.73324543,-0.19129096
561992920.60433,0.74116611,-0.17649487
577079962.36289,0.74196738,-0.17933245
592572024.93341,0.72405243,-0.19506188
608479981.34594,0.70086002,-0.2100288
624814996.5236,0.69773954,-0.21943888
641588535.11869,0.7166425,-0.23209116
658812369.55905,0.73151356,-0.23978049
676498588.31053,0.72616071,-0.22351821
694659604.36117,0.71772832,-0.19495787
713308163.93325,0.71247995,-0.191438
732457355.42913,0.70039552,-0.21408202
752120618.61728,0.71315384,-0.22178042
772311754.06494,0.74016005,-0.22642234
793044932.82397,0.75829482,-0.23602052
814334706.37674,0.74827248,-0.22839223
836196016.84901,0.73560065,-0.23412238
858644207.49698,0.71921062,-0.29142916
881695033.47592,0.69301027,-0.32769737
905364672.89782,0.71207643,-0.31206438
929669738.1859,0.72972798,-0.30828446
954627287.73402,0.68439502,-0.31553856
980254837.87898,0.65497661,-0.33248207
1006570375.1943,0.65606213,-0.36492151
1033592369.114,0.67774111,-0.34227216
1061339784.8953,0.69204235,-0.32716396
1089832096.9292,0.63964301,-0.34771436
1119089302.4088,0.62931353,-0.37310475
1149131935.3637,0.65261525,-0.37329254
1179981081.0723,0.68442702,-0.32914597
1211658390.86,0.6481058,-0.37598574
1244186097.295,0.62585026,-0.39709324
1277587029.7928,0.67484993,-0.422342
1311884630.6379,0.64023519,-0.38392887
1347102971.4375,0.5919292,-0.41404545
1383266770.0158,0.59657061,-0.42543301
1420401407.7618,0.62462938,-0.41903183
1458532947.4434,0.57370687,-0.39474854
1497688151.4994,0.59261006,-0.43338495
1537894500.8226,0.64106715,-0.45030588
1579180214.0469,0.54558253,-0.43941021
1621574267.3528,0.54481816,-0.50842923
1665106414.8037,0.54922932,-0.49218205
1709807209.2294,0.48066255,-0.4755322
1755708023.6684,0.489611,-0.53510278
1802841073.388,0.47522914,-0.50046778
1851239438.4938,0.44489348,-0.5011583
1900937087.1467,0.44137844,-0.53237498
1951968899.4039,0.44563365,-0.53278196
2004370691.6988,0.41449609,-0.58944994
2058179241.9787,0.37234411,-0.58289629
2113432315.5173,0.34056255,-0.59728318
2170168691.42,0.33081418,-0.61361605
2228428189.841,0.33546481,-0.63538909
2288251699.9307,0.28946799,-0.65601331
2349681208.5334,0.30406255,-0.63295686
2412759829.6561,0.26581246,-0.6460759
2477531834.7273,0.27459115,-0.63004112
2544042683.6691,0.2226041,-0.65655339
