!CSV A.01.01
!Agilent Technologies,E8363C,SG49030112,A.09.42.10
!Agilent E8363C: A.09.42.10
!Date: Friday, June 11, 2021 09:09:53
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
200000000,0.97206908,-0.052330814
205369121.6403,0.96908617,-0.044369254
210882380.61654,0.96919131,-0.03645144
216543646.38317,0.97066474,-0.029216519
222356892.27249,0.97193664,-0.025313132
228326198.28334,0.97351527,-0.024708927
234455753.94459,0.97338182,-0.029854093
240749861.25557,0.971071,-0.037877336
247212937.7054,0.96590209,-0.049059652
253849519.37338,0.95688736,-0.056943592
260664264.11261,0.94557709,-0.059480358
267661954.81911,0.93597794,-0.053154606
274847502.78863,0.93020225,-0.039655466
282225951.16365,0.93215567,-0.020822199
289802478.47288,0.94144845,-0.0010445855
297582402.26578,0.9558897,0.018906083
305571182.84467,0.97034276,0.033219796
313774427.09698,0.98087287,0.042749107
322197892.43048,0.98265994,0.044996519
330847490.81401,0.97560656,0.046282835
339729292.92685,0.96130401,0.048168745
348849532.41933,0.94748539,0.050553501
358214610.28794,0.93925339,0.049836483
367831099.36777,0.94672471,0.045714378
377705748.94573,0.96314299,0.029962288
387845489.49737,0.97572178,-0.0060238708
398257437.55113,0.95577592,-0.041278291
408948900.68296,0.93077195,-0.034768563
419927382.64512,0.92224318,-0.005539903
431200588.63269,0.93015021,0.030636942
442776430.69138,0.94149423,0.056096625
454663033.27057,0.94689327,0.068316445
466868738.92545,0.94094628,0.069237255
479402114.17217,0.93308055,0.065684363
492271955.5002,0.93410182,0.049745578
505487295.54614,0.94143176,0.027216049
519057409.4332,0.96155345,0.020073799
532991821.28093,0.95628172,0.01007763
547300310.88963,0.93291473,0.017465619
561992920.60433,0.93986607,0.047075033
577079962.36289,0.95261174,0.05691573
592572024.93341,0.94711906,0.039644305
608479981.34594,0.92154986,0.019561609
624814996.5236,0.90817249,0.016259095
641588535.11869,0.92797542,0.017654648
658812369.55905,0.95194757,0.015495331
676498588.31053,0.94345039,0.030700328
694659604.36117,0.92349064,0.070716284
713308163.93325,0.92109281,0.095999308
732457355.42913,0.92220652,0.0800559
752120618.61728,0.92989641,0.079549477
772311754.06494,0.94985574,0.088901758
