!CSV A.01.01
!Agilent Technologies,E8363C,SG49030112,A.09.42.10
!Agilent E8363C: A.09.42.10
!Date: Tuesday, October 22, 2019 12:11:08
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
200000000,0.96613783,0.06520988
205369121.6403,0.96219003,0.072497167
210882380.61654,0.96165019,0.079990342
216543646.38317,0.96221507,0.086828552
222356892.27249,0.96345115,0.08993838
228326198.28334,0.96507066,0.089474708
234455753.94459,0.9653514,0.083583079
240749861.25557,0.96378976,0.074146487
247212937.7054,0.95937741,0.062379062
253849519.37338,0.95097852,0.053884458
260664264.11261,0.94020259,0.050639708
267661954.81911,0.9301452,0.056984674
274847502.78863,0.92383772,0.07067582
282225951.16365,0.92467475,0.090346463
289802478.47288,0.93226838,0.11139074
297582402.26578,0.94433707,0.13258635
305571182.84467,0.95675737,0.14801621
313774427.09698,0.96484202,0.15754426
322197892.43048,0.96511102,0.15922195
330847490.81401,0.95675939,0.15938134
339729292.92685,0.94214946,0.15897951
348849532.41933,0.92878383,0.15879698
358214610.28794,0.92167443,0.15624388
367831099.36777,0.93000674,0.15233842
377705748.94573,0.94791311,0.13864304
387845489.49737,0.9647454,0.10673559
398257437.55113,0.949561,0.071922474
408948900.68296,0.92477167,0.077008389
419927382.64512,0.91350329,0.10575736
431200588.63269,0.91711605,0.14196335
442776430.69138,0.92417759,0.16594647
454663033.27057,0.92626929,0.17590719
466868738.92545,0.9186933,0.17451009
479402114.17217,0.91233927,0.1685386
492271955.5002,0.91746432,0.15224956
505487295.54614,0.9287858,0.13128695
519057409.4332,0.94927204,0.12873314
532991821.28093,0.94443262,0.12269748
547300310.88963,0.92110461,0.12962596
561992920.60433,0.92541194,0.15796848
577079962.36289,0.9349041,0.16340436
592572024.93341,0.92758244,0.14183789
608479981.34594,0.90413177,0.12063627
624814996.5236,0.89728951,0.11834987
641588535.11869,0.92079842,0.12300845
658812369.55905,0.94158047,0.12511371
676498588.31053,0.92633319,0.14288257
694659604.36117,0.9025318,0.1793797
713308163.93325,0.89968717,0.19633466
732457355.42913,0.90164632,0.17535838
752120618.61728,0.91087282,0.18056916
772311754.06494,0.93344367,0.198365
793044932.82397,0.96085894,0.20467886
814334706.37674,0.94778329,0.21474893
836196016.84901,0.93964899,0.22130731
858644207.49698,0.96313161,0.16697113
881695033.47592,0.94817334,0.10995077
905364672.89782,0.94514263,0.14545722
929669738.1859,0.97170097,0.17618564
954627287.73402,0.93933696,0.14882092
980254837.87898,0.91341692,0.13086426
1006570375.1943,0.93011034,0.10442457
1033592369.114,0.92704439,0.14294738
1061339784.8953,0.94276059,0.18820179
1089832096.9292,0.91293734,0.14470978
1119089302.4088,0.90673995,0.12766974
1149131935.3637,0.92322016,0.1431205
1179981081.0723,0.92293018,0.22712891
1211658390.86,0.94464117,0.17477147
1244186097.295,0.91093969,0.14432903
1277587029.7928,0.98137885,0.17143402
1311884630.6379,0.92870796,0.18530625
1347102971.4375,0.91287488,0.14704838
1383266770.0158,0.90087521,0.14491516
1420401407.7618,0.93914574,0.18733235
1458532947.4434,0.87323308,0.18301886
1497688151.4994,0.90457273,0.18394208
1537894500.8226,0.97265053,0.23181066
1579180214.0469,0.88558912,0.16458471
1621574267.3528,0.94073188,0.1396471
1665106414.8037,0.93602979,0.15869473
1709807209.2294,0.86826432,0.12889563
1755708023.6684,0.92883265,0.11929421
1802841073.388,0.88851976,0.1327673
1851239438.4938,0.85319954,0.13184586
1900937087.1467,0.90154773,0.11226759
1951968899.4039,0.89731032,0.15550211
2004370691.6988,0.93208832,0.095462821
2058179241.9787,0.90216047,0.061718401
2113432315.5173,0.90078878,0.036248181
2170168691.42,0.9187153,0.030522991
2228428189.841,0.94507927,0.049316294
2288251699.9307,0.93929422,0.004116545
2349681208.5334,0.91413677,0.044113766
2412759829.6561,0.90731925,0.013649523
2477531834.7273,0.8987177,0.035172228
2544042683.6691,0.90826052,-0.0098179337
2612339056.8028,0.91648585,0.072542995
2682468887.6112,0.93787372,0.031692397
2754481396.3807,0.8988778,0.026160726
2828427124.7462,0.91903019,0.03190868
2904357971.1636,0.90469438,-0.016668594
2982327227.3343,0.94328845,0.0049212943
3062389615.608,0.98236531,-0.0029959281
3144601327.3889,0.87363195,-0.055060994
3229020062.5739,0.86185044,-0.00073388719
3315705070.0485,0.94874281,0.0035367059
3404717189.2707,0.91329366,-0.013791008
3496118892.9707,0.8429274,-0.0024996665
3589974330.9972,0.8783648,0.024261452
3686349375.3406,0.88614625,0.039507743
3785311666.3648,0.90056211,0.068903148
3886930660.2806,0.8999306,0.051823344
3991277677.8928,0.89976728,0.055715378
4098425954.6569,0.84798592,-0.018373832
4208450692.0784,0.87190843,-0.080305204
4321429110.4932,0.86489058,-0.075613089
4437440503.264,0.84978276,-0.081191525
4556566292.4321,0.88827133,-0.063116424
4678890085.8628,0.89626336,-0.006343245
4804497735.9257,0.88181192,0.034406148
4933477399.7493,0.89344734,0.093979336
5065919601.0939,0.90616703,0.022693371
5201917293.8851,0.90635973,0.069927618
5341565927.4533,0.87825555,0.089931063
5484963513.5241,0.88865286,0.10517016
5632210695.0077,0.86509919,0.025618549
5783410816.6341,0.84609681,-0.05470084
5938669997.4857,0.90116012,0.002862283
6098097205.4762,0.89287442,0.0021047669
6261804333.829,0.88553667,-0.090482175
6429906279.6093,0.87315631,0.0095272884
6602521024.364,0.89436305,-0.045765031
6779769716.9262,0.86165822,0.15644115
6961776758.4431,0.84170258,0.065212667
7148669889.6865,0.85675615,0.20191178
7340580280.7068,0.95346433,0.0051260213
7537642622.8943,0.82664883,-0.0209697
7739995223.5113,0.90259755,-0.078242585
7947780102.7631,0.88390458,-0.23065723
8161143093.4735,0.84977287,-0.14138377
8380233943.4371,0.85877812,-0.073453493
8605206420.5195,0.79766202,0.10201012
8836218420.5777,0.84053987,0.11448005
9073432078.2793,0.78586584,0.075144917
9317013880.8956,0.81388038,-0.11235366
9567134785.15,0.77573186,-0.26428023
9823970337.203,0.761491,-0.26539579
10087700795.859,0.86314458,-0.01477466
10358511259.078,0.86493808,0.17307806
10636591793.89,0.7682448,0.015029111
10922137569.788,0.92431068,-0.086634979
11215348995.709,0.80463845,-0.23455726
11516431860.691,0.76480651,-0.39124453
11825597478.302,0.86739933,-0.051957026
12143062834.953,0.85389239,0.086919345
12469050742.186,0.91295755,0.15993506
12803789993.056,0.74617511,-0.49292785
13147515522.703,0.65865767,-0.45830896
13500468573.249,0.73909688,-0.10252188
13862896863.103,0.82328016,-0.011054303
14235054760.827,0.90701562,-0.18528128
14617203463.663,0.96355432,-0.31541762
15009611180.85,0.78579181,-0.30304837
15412553321.868,0.78649503,-0.01380537
15826312689.732,0.79939115,0.10280751
16251179679.474,0.70615804,-0.53479511
16687452481.962,0.77090764,-0.32909408
17135437293.173,0.82332194,-0.40749753
17595448529.107,0.86754096,0.018696941
18067809046.449,0.79267311,-0.52694279
18552850369.169,0.7444104,-0.57246155
19050912921.201,0.87826365,-0.1741078
19562346265.364,0.73522377,-0.043326516
20087509348.706,0.53802365,-0.77959704
20626770754.425,0.8475278,-0.25609234
21180508960.56,0.92768693,0.0441068
21749112605.624,0.42170757,-0.73699039
22332980761.364,0.82030076,-0.54493326
22932523212.855,0.82197344,0.010881035
23548160746.099,0.23256327,-0.84531784
24180325443.354,0.89904714,-0.14895919
24829460986.391,0.77430648,-0.19054678
25496022967.886,0.50812548,-0.49471477
26180479211.178,0.99891496,-0.13055716
26883310098.609,0.38253632,-0.80811661
27605008908.675,0.91784501,-0.12108882
28346082162.236,0.64366865,-0.29853573
29107049978.011,0.7675041,-0.36640942
29888446437.621,0.75919163,0.25104067
30690819960.437,0.76317453,-0.61016601
31514733688.477,0.56156081,0.62356812
32360765881.653,0.78726804,-0.30979225
33229510323.611,0.46890333,0.43553057
34121576738.487,0.73378003,-0.16737299
35037591218.825,0.44146496,0.28594902
35978196665.009,0.77996898,0.19988386
36944053236.475,0.82913762,0.10397477
37935838815.036,0.06987156,0.68372196
38954249480.659,0.77461314,0.38979793
40000000000,0.27174863,0.9604938
END

