!CSV A.01.01
!Agilent Technologies,E8363C,SG49030112,A.09.42.10
!Agilent E8363C: A.09.42.10
!Date: Friday, June 11, 2021 09:11:09
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
200000000,-0.94771367,0.035150953
205369121.6403,-0.9543575,0.044166449
210882380.61654,-0.96111768,0.054141235
216543646.38317,-0.96423739,0.061678872
222356892.27249,-0.96296632,0.065467253
228326198.28334,-0.9593662,0.06215556
234455753.94459,-0.95449924,0.052619249
240749861.25557,-0.95084178,0.036256265
247212937.7054,-0.95083141,0.016713308
253849519.37338,-0.95376801,-0.0051566246
260664264.11261,-0.95864564,-0.024808504
267661954.81911,-0.96423793,-0.040567826
274847502.78863,-0.96747017,-0.048806928
282225951.16365,-0.96706134,-0.050374117
289802478.47288,-0.96106023,-0.046020418
297582402.26578,-0.95079255,-0.0428336
305571182.84467,-0.93913037,-0.041280944
313774427.09698,-0.93194962,-0.042808037
322197892.43048,-0.9316783,-0.043928351
330847490.81401,-0.93797445,-0.045359511
339729292.92685,-0.94586223,-0.045075599
348849532.41933,-0.95086104,-0.046152323
358214610.28794,-0.95113277,-0.050768707
367831099.36777,-0.95599037,-0.064831339
377705748.94573,-0.96593511,-0.080125146
387845489.49737,-0.98044831,-0.073841244
398257437.55113,-0.96982205,-0.048912697
408948900.68296,-0.94885707,-0.037538208
419927382.64512,-0.92890006,-0.030800138
431200588.63269,-0.91320574,-0.02937007
442776430.69138,-0.90258116,-0.0348767
454663033.27057,-0.90807253,-0.045951806
466868738.92545,-0.92659456,-0.059427161
479402114.17217,-0.94905168,-0.070883095
492271955.5002,-0.96042454,-0.074901022
505487295.54614,-0.95470631,-0.083524272
519057409.4332,-0.9607414,-0.10426649
532991821.28093,-0.95896107,-0.098524131
547300310.88963,-0.9401781,-0.054238513
561992920.60433,-0.92549026,-0.028628286
577079962.36289,-0.91004431,-0.028710779
592572024.93341,-0.91841251,-0.051758818
608479981.34594,-0.94927961,-0.075598978
624814996.5236,-0.96572119,-0.079897553
641588535.11869,-0.9441762,-0.074840359
658812369.55905,-0.916309,-0.076660119
676498588.31053,-0.9161616,-0.071369745
694659604.36117,-0.92793006,-0.050643578
713308163.93325,-0.92351717,-0.05185524
732457355.42913,-0.92565942,-0.0945253
752120618.61728,-0.95562464,-0.15904953
772311754.06494,-0.96063733,-0.15343016
793044932.82397,-0.94369525,-0.12378015
814334706.37674,-0.96462601,-0.10132384
836196016.84901,-0.98639566,-0.0677623
858644207.49698,-0.96999061,-0.086146638
881695033.47592,-0.97518462,-0.12904379
905364672.89782,-0.98287058,-0.084449947
929669738.1859,-0.93820107,-0.030953962
954627287.73402,-0.94603664,-0.03920446
980254837.87898,-0.96358168,-0.057293352
1006570375.1943,-0.93817681,-0.10039318
1033592369.114,-0.93889087,-0.088020265
1061339784.8953,-0.91964823,-0.03376155
1089832096.9292,-0.93920761,-0.064541459
1119089302.4088,-0.94521093,-0.10027596
1149131935.3637,-0.91538459,-0.12944566
1179981081.0723,-0.92637295,-0.073024228
