!CSV A.01.01
!Agilent Technologies,E8363C,SG49030112,A.09.42.10
!Agilent E8363C: A.09.42.10
!Date: Tuesday, October 22, 2019 12:15:29
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
200000000,0.964194,-0.035953257
205369121.6403,0.96075934,-0.031120379
210882380.61654,0.96121842,-0.026933454
216543646.38317,0.96262413,-0.024239345
222356892.27249,0.96421087,-0.025454026
228326198.28334,0.96562403,-0.030766647
234455753.94459,0.96466243,-0.04148839
240749861.25557,0.96082997,-0.054539323
247212937.7054,0.95400804,-0.068927623
253849519.37338,0.94389963,-0.07861229
260664264.11261,0.93263012,-0.081637137
267661954.81911,0.92439431,-0.075497538
274847502.78863,0.92128623,-0.062724926
282225951.16365,0.92649299,-0.045725659
289802478.47288,0.93806285,-0.029233994
297582402.26578,0.95329642,-0.014415215
305571182.84467,0.96678519,-0.0064264485
313774427.09698,0.97432417,-0.0036460881
322197892.43048,0.97221357,-0.0069265054
330847490.81401,0.96216208,-0.0098979352
339729292.92685,0.94718975,-0.012930676
348849532.41933,0.93453175,-0.016396591
358214610.28794,0.9279747,-0.023668179
367831099.36777,0.93600005,-0.035004802
377705748.94573,0.95033073,-0.056522571
387845489.49737,0.95974129,-0.093384303
398257437.55113,0.9380874,-0.12483606
408948900.68296,0.91626614,-0.11732514
419927382.64512,0.91212398,-0.091230556
431200588.63269,0.92196417,-0.063845821
442776430.69138,0.93079376,-0.051295657
454663033.27057,0.93045473,-0.05074339
466868738.92545,0.91996533,-0.057213064
479402114.17217,0.91359252,-0.069488615
492271955.5002,0.91670704,-0.093242191
505487295.54614,0.92294824,-0.12147801
519057409.4332,0.94093823,-0.13127369
532991821.28093,0.93424708,-0.13582546
547300310.88963,0.91446555,-0.12794089
561992920.60433,0.92442352,-0.11360497
577079962.36289,0.92719942,-0.12696567
592572024.93341,0.90474105,-0.15389082
608479981.34594,0.87717903,-0.16975738
624814996.5236,0.87849164,-0.17362356
641588535.11869,0.90546751,-0.18298137
658812369.55905,0.91840988,-0.19153674
676498588.31053,0.90208066,-0.17287099
694659604.36117,0.88921559,-0.14445062
713308163.93325,0.88687044,-0.14851317
732457355.42913,0.87550813,-0.17639971
752120618.61728,0.8933273,-0.17237994
772311754.06494,0.92863113,-0.1676157
793044932.82397,0.94640976,-0.18045616
814334706.37674,0.92998588,-0.17672628
836196016.84901,0.92601514,-0.19408704
858644207.49698,0.91545659,-0.27163163
881695033.47592,0.88249481,-0.3013126
905364672.89782,0.90631813,-0.27105612
929669738.1859,0.92191559,-0.28128695
954627287.73402,0.86257863,-0.30442563
980254837.87898,0.84108818,-0.32680765
1006570375.1943,0.8438465,-0.35452548
1033592369.114,0.86215705,-0.31494746
1061339784.8953,0.87222165,-0.31720066
1089832096.9292,0.81086069,-0.35302645
1119089302.4088,0.81454498,-0.37407959
1149131935.3637,0.83150059,-0.35578197
1179981081.0723,0.86137676,-0.31564522
1211658390.86,0.81158817,-0.38988566
1244186097.295,0.81384575,-0.38983372
1277587029.7928,0.8582952,-0.41867211
1311884630.6379,0.7975648,-0.38669631
1347102971.4375,0.75190085,-0.44117495
1383266770.0158,0.77637619,-0.42676166
1420401407.7618,0.77586317,-0.42966625
1458532947.4434,0.72146428,-0.41778278
1497688151.4994,0.76444566,-0.4466677
1537894500.8226,0.79320258,-0.46868837
1579180214.0469,0.68958455,-0.47094229
1621574267.3528,0.70776808,-0.55989617
