"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+007, +9.91849441363E-001, -1.77829985077E-002
+5.11853458461E+007, +9.91461503095E-001, -1.87564803108E-002
+5.23706916923E+007, +9.91074625333E-001, -1.97721114648E-002
+5.35560375384E+007, +9.90660205214E-001, -2.07968418858E-002
+5.47413833845E+007, +9.90236550305E-001, -2.18718037645E-002
+5.59267292306E+007, +9.89809583937E-001, -2.29543542920E-002
+5.71120750768E+007, +9.89374540493E-001, -2.40674321257E-002
+5.82974209229E+007, +9.88928931492E-001, -2.51935481569E-002
+5.94827667690E+007, +9.88481142137E-001, -2.63565913762E-002
+6.06681126151E+007, +9.88029373758E-001, -2.75023938769E-002
+6.18534584613E+007, +9.87543179189E-001, -2.86755400060E-002
+6.30388043074E+007, +9.87071988216E-001, -2.98449892384E-002
+6.42241501535E+007, +9.86613815912E-001, -3.10209698231E-002
+6.54094959996E+007, +9.86133653882E-001, -3.21947639910E-002
+6.65948418458E+007, +9.85672351239E-001, -3.33705842851E-002
+6.79722033673E+007, +9.85149970596E-001, -3.47894031807E-002
+6.96010170503E+007, +9.84529924635E-001, -3.64149527403E-002
+7.12298307333E+007, +9.83923758735E-001, -3.80300526104E-002
+7.28586444162E+007, +9.83324431415E-001, -3.96582749945E-002
+7.44874580992E+007, +9.82720076717E-001, -4.12911089294E-002
+7.61162717822E+007, +9.82120942033E-001, -4.28854618517E-002
+7.77450854652E+007, +9.81518336475E-001, -4.44317104979E-002
+7.93738991482E+007, +9.80933293432E-001, -4.59540803533E-002
+8.10027128312E+007, +9.80374695919E-001, -4.74482089744E-002
+8.26315265142E+007, +9.79815441218E-001, -4.89114969432E-002
+8.42603401972E+007, +9.79291726570E-001, -5.03613324262E-002
+8.58891538801E+007, +9.78797715282E-001, -5.17759736408E-002
+8.75179675631E+007, +9.78329913865E-001, -5.31504233682E-002
+8.91467812461E+007, +9.77889088516E-001, -5.44725118057E-002
+9.07755949291E+007, +9.77448162205E-001, -5.57853139273E-002
+9.24044086121E+007, +9.77079123870E-001, -5.70179619164E-002
+9.43155818098E+007, +9.76674174200E-001, -5.84454803541E-002
+9.65515134723E+007, +9.76257568487E-001, -5.99729981686E-002
+9.87874451347E+007, +9.75880192565E-001, -6.13987137562E-002
+1.01023376797E+008, +9.75572212728E-001, -6.28463030107E-002
+1.03259308460E+008, +9.75343799315E-001, -6.42671377946E-002
+1.05495240122E+008, +9.75170685623E-001, -6.55991191328E-002
+1.07731171785E+008, +9.75066151060E-001, -6.67886861683E-002
+1.09967103447E+008, +9.74994104912E-001, -6.78562893586E-002
+1.12203035110E+008, +9.75010358778E-001, -6.88160289644E-002
+1.14438966772E+008, +9.75054651097E-001, -6.96791067445E-002
+1.16674898434E+008, +9.75167056121E-001, -7.04578486017E-002
+1.18910830097E+008, +9.75308579104E-001, -7.11250008837E-002
+1.21146761759E+008, +9.75476251652E-001, -7.16731974087E-002
+1.23382693422E+008, +9.75692175618E-001, -7.21115196600E-002
+1.25618625084E+008, +9.75949931407E-001, -7.25183090078E-002
+1.28216758150E+008, +9.76272339112E-001, -7.29572331353E-002
+1.31289208353E+008, +9.76650206838E-001, -7.33781059829E-002
+1.34361658556E+008, +9.77025491856E-001, -7.36906670794E-002
+1.37434108760E+008, +9.77389271963E-001, -7.38585871760E-002
+1.40506558963E+008, +9.77752157224E-001, -7.38674497025E-002
+1.43579009167E+008, +9.78097470553E-001, -7.38613988585E-002
+1.46651459370E+008, +9.78390123506E-001, -7.38862733961E-002
+1.49723909573E+008, +9.78659007475E-001, -7.39898483408E-002
+1.52796359777E+008, +9.78829214288E-001, -7.41835979909E-002
+1.55868809980E+008, +9.78934840902E-001, -7.44079265348E-002
+1.58941260184E+008, +9.78942651936E-001, -7.46299654657E-002
+1.62013710387E+008, +9.78874575853E-001, -7.47781621754E-002
+1.65086160591E+008, +9.78748303935E-001, -7.50080811600E-002
+1.68158610794E+008, +9.78497563714E-001, -7.53541603908E-002
+1.71231060997E+008, +9.78200670198E-001, -7.59006675713E-002
+1.74303511201E+008, +9.77804467854E-001, -7.66880887550E-002
+1.77908579442E+008, +9.77238672644E-001, -7.78203031472E-002
+1.82126243355E+008, +9.76420593203E-001, -7.93903101427E-002
+1.86343907268E+008, +9.75342783736E-001, -8.07394714550E-002
+1.90561571180E+008, +9.74131763542E-001, -8.23415880887E-002
+1.94779235093E+008, +9.72862539492E-001, -8.39769788127E-002
+1.98996899006E+008, +9.71607603702E-001, -8.52916820654E-002
+2.03214562918E+008, +9.70584581954E-001, -8.63179346197E-002
+2.07432226831E+008, +9.69606272355E-001, -8.62596350355E-002
+2.11649890744E+008, +9.68262520980E-001, -8.63737524525E-002
+2.15867554656E+008, +9.66846189538E-001, -8.78496159111E-002
+2.20085218569E+008, +9.65549395785E-001, -8.99676183212E-002
+2.24302882482E+008, +9.64437904727E-001, -9.22006876402E-002
+2.28520546394E+008, +9.63502662999E-001, -9.42146248701E-002
+2.32738210307E+008, +9.62815626363E-001, -9.59641769850E-002
+2.36955874219E+008, +9.62348381448E-001, -9.75715579280E-002
+2.41856762853E+008, +9.62110630165E-001, -9.90898043377E-002
+2.47652361423E+008, +9.62188044908E-001, -1.00592267063E-001
+2.53447959994E+008, +9.62734980414E-001, -1.00855121997E-001
+2.59243558564E+008, +9.63636492797E-001, -1.00527063136E-001
+2.65039157134E+008, +9.64698819860E-001, -1.00663799256E-001
+2.70834755705E+008, +9.65779950693E-001, -1.01218644195E-001
+2.76630354275E+008, +9.66685624662E-001, -1.02298711543E-001
+2.82425952845E+008, +9.67349158697E-001, -1.03683284390E-001
+2.88221551416E+008, +9.67848748951E-001, -1.05159265101E-001
+2.94017149986E+008, +9.68039413160E-001, -1.07059740554E-001
+2.99812748556E+008, +9.67821202867E-001, -1.09429368741E-001
+3.05608347127E+008, +9.66405852817E-001, -1.14659795531E-001
+3.11403945697E+008, +9.64389846675E-001, -1.20058272789E-001
+3.17199544267E+008, +9.62083448098E-001, -1.25254977729E-001
+3.22995142838E+008, +9.59763166044E-001, -1.30091934193E-001
+3.28790741408E+008, +9.57422530366E-001, -1.35032096017E-001
+3.35591023581E+008, +9.54940587067E-001, -1.41323359970E-001
+3.43546852097E+008, +9.53613877024E-001, -1.46894331630E-001
+3.51502680613E+008, +9.52930797412E-001, -1.35153027421E-001
+3.59458509129E+008, +9.49460082253E-001, -1.35918704398E-001
+3.67414337645E+008, +9.47794723928E-001, -1.43842413888E-001
+3.75370166161E+008, +9.46710309383E-001, -1.50001985325E-001
+3.83325994677E+008, +9.46290227484E-001, -1.52150664480E-001
+3.91281823193E+008, +9.46806782680E-001, -1.52627499213E-001
+3.99237651709E+008, +9.48078152010E-001, -1.51946539865E-001
