"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+007, +9.91261520033E-001, -2.70269768867E-002
+5.11853458461E+007, +9.90851507058E-001, -2.81974937901E-002
+5.23706916923E+007, +9.90423801441E-001, -2.94597593709E-002
+5.35560375384E+007, +9.89969920524E-001, -3.07089945525E-002
+5.47413833845E+007, +9.89515339073E-001, -3.20037368568E-002
+5.59267292306E+007, +9.89037669130E-001, -3.33363488227E-002
+5.71120750768E+007, +9.88552046651E-001, -3.46650140273E-002
+5.82974209229E+007, +9.88056147991E-001, -3.60237501868E-002
+5.94827667690E+007, +9.87564562738E-001, -3.73951901389E-002
+6.06681126151E+007, +9.87060973750E-001, -3.87742346023E-002
+6.18534584613E+007, +9.86550064624E-001, -4.01701372331E-002
+6.30388043074E+007, +9.86013915074E-001, -4.15562291707E-002
+6.42241501535E+007, +9.85494255782E-001, -4.29495896229E-002
+6.54094959996E+007, +9.84967702171E-001, -4.43508437984E-002
+6.65948418458E+007, +9.84464573139E-001, -4.57649994457E-002
+6.79722033673E+007, +9.83881950133E-001, -4.74207030177E-002
+6.96010170503E+007, +9.83194480601E-001, -4.93483217542E-002
+7.12298307333E+007, +9.82506377583E-001, -5.12760026032E-002
+7.28586444162E+007, +9.81843561434E-001, -5.32060446729E-002
+7.44874580992E+007, +9.81162299038E-001, -5.51339748714E-002
+7.61162717822E+007, +9.80466754302E-001, -5.70206453138E-002
+7.77450854652E+007, +9.79792459737E-001, -5.88833655163E-002
+7.93738991482E+007, +9.79131217348E-001, -6.06873020678E-002
+8.10027128312E+007, +9.78486807425E-001, -6.24567670039E-002
+8.26315265142E+007, +9.77873096533E-001, -6.42080699732E-002
+8.42603401972E+007, +9.77276605705E-001, -6.59480232420E-002
+8.58891538801E+007, +9.76695396922E-001, -6.76527271234E-002
+8.75179675631E+007, +9.76142876862E-001, -6.93069735945E-002
+8.91467812461E+007, +9.75634472012E-001, -7.09009831716E-002
+9.07755949291E+007, +9.75101118612E-001, -7.24979084491E-002
+9.24044086121E+007, +9.74654438470E-001, -7.40289970908E-002
+9.43155818098E+007, +9.74156915948E-001, -7.57762035227E-002
+9.65515134723E+007, +9.73628008197E-001, -7.76876548250E-002
+9.87874451347E+007, +9.73156251119E-001, -7.94685874723E-002
+1.01023376797E+008, +9.72724000845E-001, -8.12811889670E-002
+1.03259308460E+008, +9.72393863403E-001, -8.30895927334E-002
+1.05495240122E+008, +9.72107440095E-001, -8.47865487017E-002
+1.07731171785E+008, +9.71887458568E-001, -8.63348825742E-002
+1.09967103447E+008, +9.71717281718E-001, -8.77735478350E-002
+1.12203035110E+008, +9.71628176820E-001, -8.90817844968E-002
+1.14438966772E+008, +9.71571364206E-001, -9.03173665994E-002
+1.16674898434E+008, +9.71571221091E-001, -9.14486197914E-002
+1.18910830097E+008, +9.71601948739E-001, -9.24693720527E-002
+1.21146761759E+008, +9.71670910721E-001, -9.33922036253E-002
+1.23382693422E+008, +9.71775778201E-001, -9.41944379260E-002
+1.25618625084E+008, +9.71925333880E-001, -9.49425264017E-002
+1.28216758150E+008, +9.72124844490E-001, -9.58070845525E-002
+1.31289208353E+008, +9.72348839740E-001, -9.67327733802E-002
+1.34361658556E+008, +9.72584621310E-001, -9.75394613116E-002
+1.37434108760E+008, +9.72782874982E-001, -9.81889089711E-002
+1.40506558963E+008, +9.72979799713E-001, -9.87398921358E-002
+1.43579009167E+008, +9.73140327144E-001, -9.92367655792E-002
+1.46651459370E+008, +9.73280988575E-001, -9.97535311679E-002
+1.49723909573E+008, +9.73355219010E-001, -1.00367521195E-001
+1.52796359777E+008, +9.73341896135E-001, -1.01066482836E-001
+1.55868809980E+008, +9.73241168383E-001, -1.01823320317E-001
+1.58941260184E+008, +9.73037253292E-001, -1.02555965893E-001
+1.62013710387E+008, +9.72770154238E-001, -1.03230619742E-001
