!CSV A.01.01
!Agilent Technologies,E8363C,SG49030112,A.09.42.10
!Agilent E8363C: A.09.42.10
!Date: Friday, June 11, 2021 09:11:47
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
200000000,0.95791811,-0.15438728
205369121.6403,0.95522869,-0.14893305
210882380.61654,0.95609105,-0.14444573
216543646.38317,0.95767707,-0.14118908
222356892.27249,0.95911115,-0.14191887
228326198.28334,0.95981908,-0.14651337
234455753.94459,0.95729166,-0.1562537
240749861.25557,0.95192492,-0.1672502
247212937.7054,0.94494015,-0.18042035
253849519.37338,0.93412232,-0.1895016
260664264.11261,0.92230648,-0.19258477
267661954.81911,0.91403747,-0.1863281
274847502.78863,0.91151315,-0.17411621
282225951.16365,0.91754889,-0.15835634
289802478.47288,0.93024653,-0.14322977
297582402.26578,0.94742936,-0.12995863
305571182.84467,0.96250206,-0.1232256
313774427.09698,0.9716332,-0.12057873
322197892.43048,0.97060281,-0.12345679
330847490.81401,0.96130908,-0.12531206
339729292.92685,0.9459964,-0.12580808
348849532.41933,0.93274665,-0.12705947
358214610.28794,0.9248783,-0.13238241
367831099.36777,0.93098015,-0.14424351
377705748.94573,0.94283742,-0.16802242
387845489.49737,0.94704068,-0.20823112
398257437.55113,0.9199726,-0.23916486
408948900.68296,0.89799392,-0.22977385
419927382.64512,0.89655399,-0.20358136
431200588.63269,0.91069788,-0.17657517
442776430.69138,0.92307168,-0.16288878
454663033.27057,0.92552006,-0.16061641
466868738.92545,0.91554475,-0.16498704
479402114.17217,0.90673959,-0.17481962
492271955.5002,0.90518034,-0.19831884
505487295.54614,0.9068554,-0.22758622
519057409.4332,0.92282176,-0.24231234
532991821.28093,0.91462797,-0.24974
547300310.88963,0.89476204,-0.24042566
561992920.60433,0.90748703,-0.22431463
577079962.36289,0.9132579,-0.23339048
592572024.93341,0.89224559,-0.25680628
608479981.34594,0.86130172,-0.27071097
624814996.5236,0.85592723,-0.27613437
641588535.11869,0.87820095,-0.2894679
658812369.55905,0.89269775,-0.30219987
676498588.31053,0.88230169,-0.28470558
694659604.36117,0.87446529,-0.25170836
713308163.93325,0.87540883,-0.24869062
732457355.42913,0.86252791,-0.27726501
752120618.61728,0.87293386,-0.28234917
772311754.06494,0.90161145,-0.28421503
793044932.82397,0.92186022,-0.30038106
814334706.37674,0.90872812,-0.29454261
836196016.84901,0.90110689,-0.30155471
858644207.49698,0.88441557,-0.37335554
881695033.47592,0.84132457,-0.41216159
905364672.89782,0.86011475,-0.38684252
929669738.1859,0.88632649,-0.3914625
954627287.73402,0.83135426,-0.40605855
980254837.87898,0.79875672,-0.4201456
1006570375.1943,0.7943576,-0.45604336
