"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+007, +9.92171416615E-001, -1.80148556407E-003
+5.11853458461E+007, +9.91815093144E-001, -2.37834774986E-003
+5.23706916923E+007, +9.91453112881E-001, -3.00439856531E-003
+5.35560375384E+007, +9.91070015539E-001, -3.65961568219E-003
+5.47413833845E+007, +9.90677130142E-001, -4.34267169466E-003
+5.59267292306E+007, +9.90276379703E-001, -5.06322329496E-003
+5.71120750768E+007, +9.89865690179E-001, -5.79770334176E-003
+5.82974209229E+007, +9.89450678399E-001, -6.55200964135E-003
+5.94827667690E+007, +9.89033880002E-001, -7.32465285547E-003
+6.06681126151E+007, +9.88598900787E-001, -8.09798352984E-003
+6.18534584613E+007, +9.88161211653E-001, -8.89374124600E-003
+6.30388043074E+007, +9.87718237667E-001, -9.68908372853E-003
+6.42241501535E+007, +9.87286950383E-001, -1.04933936479E-002
+6.54094959996E+007, +9.86853634070E-001, -1.12846531805E-002
+6.65948418458E+007, +9.86424011729E-001, -1.21004970661E-002
+6.79722033673E+007, +9.85942657800E-001, -1.30783559568E-002
+6.96010170503E+007, +9.85370031139E-001, -1.41928007827E-002
+7.12298307333E+007, +9.84822053365E-001, -1.53040384815E-002
+7.28586444162E+007, +9.84270671701E-001, -1.64247424188E-002
+7.44874580992E+007, +9.83715667484E-001, -1.75614323703E-002
+7.61162717822E+007, +9.83163151522E-001, -1.86528955854E-002
+7.77450854652E+007, +9.82608882632E-001, -1.97171648194E-002
+7.93738991482E+007, +9.82082001823E-001, -2.07296974110E-002
+8.10027128312E+007, +9.81557836103E-001, -2.17148421667E-002
+8.26315265142E+007, +9.81058491439E-001, -2.26853764482E-002
+8.42603401972E+007, +9.80596045528E-001, -2.36505250859E-002
+8.58891538801E+007, +9.80147257301E-001, -2.45781266161E-002
+8.75179675631E+007, +9.79717370211E-001, -2.54570732477E-002
+8.91467812461E+007, +9.79335776098E-001, -2.63034260032E-002
+9.07755949291E+007, +9.78953909420E-001, -2.71429943939E-002
+9.24044086121E+007, +9.78614707086E-001, -2.78767905990E-002
+9.43155818098E+007, +9.78274216093E-001, -2.87482967020E-002
+9.65515134723E+007, +9.77893694106E-001, -2.96152348114E-002
+9.87874451347E+007, +9.77582656997E-001, -3.03767430907E-002
+1.01023376797E+008, +9.77326918787E-001, -3.11423609503E-002
+1.03259308460E+008, +9.77135979041E-001, -3.19267317554E-002
+1.05495240122E+008, +9.77030977878E-001, -3.25926076809E-002
+1.07731171785E+008, +9.76972291217E-001, -3.31455262365E-002
+1.09967103447E+008, +9.76966157315E-001, -3.35360986774E-002
+1.12203035110E+008, +9.77006606020E-001, -3.38280397200E-002
+1.14438966772E+008, +9.77101314501E-001, -3.40367795392E-002
+1.16674898434E+008, +9.77252752660E-001, -3.41664100030E-002
+1.18910830097E+008, +9.77425407371E-001, -3.41561802824E-002
+1.21146761759E+008, +9.77626278192E-001, -3.40393009690E-002
+1.23382693422E+008, +9.77889445956E-001, -3.38184147023E-002
+1.25618625084E+008, +9.78163203932E-001, -3.35479602659E-002
+1.28216758150E+008, +9.78528594385E-001, -3.32163790304E-002
+1.31289208353E+008, +9.78961809878E-001, -3.27082872531E-002
+1.34361658556E+008, +9.79387066030E-001, -3.20888428201E-002
+1.37434108760E+008, +9.79792861425E-001, -3.13044345125E-002
+1.40506558963E+008, +9.80192741157E-001, -3.04106597615E-002
+1.43579009167E+008, +9.80568872841E-001, -2.94497827805E-002
+1.46651459370E+008, +9.80920091375E-001, -2.85174963686E-002
+1.49723909573E+008, +9.81231821972E-001, -2.76641451034E-002
+1.52796359777E+008, +9.81472117426E-001, -2.68986772392E-002
+1.55868809980E+008, +9.81645673675E-001, -2.61879304970E-002
+1.58941260184E+008, +9.81721394215E-001, -2.54603331650E-002
+1.62013710387E+008, +9.81718869961E-001, -2.46478185366E-002
+1.65086160591E+008, +9.81665552999E-001, -2.39187294240E-002
+1.68158610794E+008, +9.81534916880E-001, -2.33144934165E-002
+1.71231060997E+008, +9.81331114282E-001, -2.28959765953E-002
+1.74303511201E+008, +9.81044210844E-001, -2.27106870689E-002
+1.77908579442E+008, +9.80634865778E-001, -2.27568587195E-002
+1.82126243355E+008, +9.79994430763E-001, -2.30354784184E-002
+1.86343907268E+008, +9.79096537133E-001, -2.31334953282E-002
+1.90561571180E+008, +9.78067096400E-001, -2.34593308243E-002
+1.94779235093E+008, +9.76971356069E-001, -2.38289000294E-002
+1.98996899006E+008, +9.75869915305E-001, -2.39103072499E-002
+2.03214562918E+008, +9.74979717517E-001, -2.36975915062E-002
+2.07432226831E+008, +9.74039874492E-001, -2.23998558991E-002
+2.11649890744E+008, +9.72746694432E-001, -2.13456135548E-002
+2.15867554656E+008, +9.71436466045E-001, -2.16355372295E-002
+2.20085218569E+008, +9.70299477091E-001, -2.25704823086E-002
+2.24302882482E+008, +9.69344544511E-001, -2.36288037417E-002
+2.28520546394E+008, +9.68558313970E-001, -2.44231320399E-002
+2.32738210307E+008, +9.67979647892E-001, -2.49874281580E-002
+2.36955874219E+008, +9.67624000590E-001, -2.53738550673E-002
+2.41856762853E+008, +9.67460658215E-001, -2.54650317464E-002
+2.47652361423E+008, +9.67639994748E-001, -2.52510065312E-002
+2.53447959994E+008, +9.68179431047E-001, -2.37660466789E-002
+2.59243558564E+008, +9.69053209493E-001, -2.16172958492E-002
+2.65039157134E+008, +9.70134193521E-001, -1.98807530334E-002
+2.70834755705E+008, +9.71296861397E-001, -1.85622425564E-002
+2.76630354275E+008, +9.72355975992E-001, -1.77170567822E-002
+2.82425952845E+008, +9.73250529998E-001, -1.71580696865E-002
+2.88221551416E+008, +9.73996845414E-001, -1.67093628388E-002
+2.94017149986E+008, +9.74542176111E-001, -1.66455453786E-002
+2.99812748556E+008, +9.74727772645E-001, -1.70979447272E-002
+3.05608347127E+008, +9.74011844192E-001, -2.05046495312E-002
+3.11403945697E+008, +9.72750122252E-001, -2.41215853700E-002
+3.17199544267E+008, +9.71194580759E-001, -2.75895337634E-002
+3.22995142838E+008, +9.69594283114E-001, -3.07273477129E-002
+3.28790741408E+008, +9.68015165648E-001, -3.39886532505E-002
+3.35591023581E+008, +9.66456305814E-001, -3.83307385256E-002
+3.43546852097E+008, +9.65930436313E-001, -4.15719883725E-002
+3.51502680613E+008, +9.63964066737E-001, -2.77994779490E-002
+3.59458509129E+008, +9.60588580226E-001, -2.67924864255E-002
+3.67414337645E+008, +9.59776765491E-001, -3.27332448463E-002
+3.75370166161E+008, +9.59325213227E-001, -3.69234671222E-002
+3.83325994677E+008, +9.59049420470E-001, -3.71068631421E-002
+3.91281823193E+008, +9.59520842174E-001, -3.55151395972E-002
+3.99237651709E+008, +9.60648860599E-001, -3.25986840736E-002
+4.07193480225E+008, +9.62050994109E-001, -3.05925725913E-002
+4.15149308741E+008, +9.63717833619E-001, -2.76316770481E-002
+4.23105137257E+008, +9.65413617068E-001, -2.39057627335E-002
+4.31060965773E+008, +9.66906775857E-001, -2.00246632478E-002
+4.39016794289E+008, +9.67856538749E-001, -1.61337243290E-002
+4.46972622805E+008, +9.68217627420E-001, -1.30507949427E-002
+4.56217226062E+008, +9.67530801302E-001, -1.19846382460E-002
+4.67149531084E+008, +9.65335932590E-001, -1.33286358819E-002
+4.78081836106E+008, +9.62098914711E-001, -1.70504482698E-002
+4.89014141128E+008, +9.58449720476E-001, -2.26785296541E-002
+4.99946446150E+008, +9.55013974366E-001, -2.99519636403E-002
+5.10878751172E+008, +9.51932887660E-001, -3.65248509130E-002
+5.21811056194E+008, +9.50381190001E-001, -4.28632703671E-002
+5.32743361216E+008, +9.50597493145E-001, -4.74066340766E-002
+5.43675666238E+008, +9.52133109277E-001, -4.84799580125E-002
+5.54607971260E+008, +9.54674228064E-001, -4.77267538093E-002
+5.65540276281E+008, +9.57580654743E-001, -4.41012327279E-002
+5.76472581303E+008, +9.60151615505E-001, -3.89805808343E-002
+5.87404886325E+008, +9.61836217176E-001, -3.32106050922E-002
+5.98337191347E+008, +9.62049446986E-001, -2.78435895194E-002
+6.09269496369E+008, +9.61143509502E-001, -2.42338834298E-002
+6.20201801391E+008, +9.58329156097E-001, -2.28135199350E-002
+6.33029252784E+008, +9.54072563481E-001, -2.52132496822E-002
+6.48036424690E+008, +9.48976082361E-001, -3.02811758170E-002
+6.63043596595E+008, +9.45247083805E-001, -3.66067011814E-002
+6.78050768500E+008, +9.44643247541E-001, -4.37804488133E-002
+6.93057940405E+008, +9.46702130887E-001, -4.65215134554E-002
+7.08065112311E+008, +9.49800843544E-001, -4.21956525098E-002
+7.23072284216E+008, +9.53472088129E-001, -3.36691459801E-002
+7.38079456121E+008, +9.55879879862E-001, -2.32529231478E-002
+7.53086628027E+008, +9.56004248248E-001, -1.43634909011E-002
+7.68093799932E+008, +9.53369406774E-001, -9.76139958876E-003
+7.83100971837E+008, +9.48048075492E-001, -1.24989601087E-002
+7.98108143742E+008, +9.41868591858E-001, -1.98248295358E-002
+8.13115315648E+008, +9.38166334870E-001, -3.29990934668E-002
+8.28122487553E+008, +9.37389689311E-001, -4.45459703310E-002
+8.43129659458E+008, +9.39486291524E-001, -4.98346162425E-002
+8.60567862154E+008, +9.44424269882E-001, -4.63775624839E-002
+8.81189596327E+008, +9.49992301205E-001, -3.28735253495E-002
+9.01811330501E+008, +9.50897848624E-001, -1.73351107933E-002
+9.22433064674E+008, +9.45413605461E-001, -8.46451907943E-003
+9.43054798847E+008, +9.37274250233E-001, -1.55523813479E-002
+9.63676533021E+008, +9.30748923246E-001, -3.68493939915E-002
+9.84298267194E+008, +9.30568146743E-001, -5.91657517563E-002
+1.00492000137E+009, +9.36210521315E-001, -6.30868400301E-002
+1.02554173554E+009, +9.43179337140E-001, -4.56327101035E-002
+1.04616346971E+009, +9.46388406732E-001, -1.21319619479E-002
+1.06678520389E+009, +9.42397186450E-001, +2.00022595561E-002
+1.08740693806E+009, +9.33095805320E-001, +3.42063233427E-002
+1.10802867223E+009, +9.25706115367E-001, +2.28067682784E-002
+1.12865040641E+009, +9.24902058994E-001, -1.18849085211E-002
+1.14927214058E+009, +9.28777142796E-001, -4.93152662268E-002
+1.16989387475E+009, +9.36783812751E-001, -6.50136431236E-002
+1.19409044558E+009, +9.42159069104E-001, -4.73947052117E-002
+1.22239864857E+009, +9.37412412141E-001, -4.49117194934E-004
+1.25070685156E+009, +9.25290228530E-001, +2.75867263597E-002
+1.27901505455E+009, +9.21303369817E-001, +1.08482599444E-002
+1.30732325754E+009, +9.28290458815E-001, -2.64916390291E-002
+1.33563146054E+009, +9.35787470560E-001, -3.68365247295E-002
+1.36393966353E+009, +9.33944705710E-001, -6.77724049781E-003
+1.39224786652E+009, +9.23607100461E-001, +2.55635592697E-002
+1.42055606951E+009, +9.15890651846E-001, +2.47524442504E-002
+1.44886427250E+009, +9.20142594775E-001, -7.36318598372E-003
+1.47717247549E+009, +9.28588704927E-001, -3.06429257453E-002
+1.50548067848E+009, +9.30358809447E-001, -2.45017792119E-002
+1.53378888148E+009, +9.22468771273E-001, +5.24676838619E-003
+1.56209708447E+009, +9.13007275766E-001, +2.28455421236E-002
+1.59040528746E+009, +9.13242125554E-001, +1.37634622223E-002
+1.62329917212E+009, +9.23632612542E-001, -8.38151019090E-003
+1.66219818925E+009, +9.25180717000E-001, -4.11681865249E-003
+1.70109720638E+009, +9.11485734709E-001, +1.57356625140E-002
+1.73999622351E+009, +9.10011622763E-001, +7.52634118900E-003
+1.77889524064E+009, +9.22687254473E-001, -1.01824383767E-002
+1.81779425777E+009, +9.18656510891E-001, -5.02552237413E-003
+1.85669327490E+009, +9.05037727152E-001, +1.02811198482E-002
+1.89559229203E+009, +9.09113943646E-001, -4.45512135388E-003
+1.93449130915E+009, +9.19905026537E-001, -2.62246259098E-002
+1.97339032628E+009, +9.12552881826E-001, -1.13380880801E-002
+2.01228934341E+009, +8.99505386276E-001, +6.78110432761E-004
+2.05118836054E+009, +9.06691007229E-001, -2.77050319931E-002
+2.09008737767E+009, +9.15498934578E-001, -5.58905394361E-002
+2.12898639480E+009, +9.02591601204E-001, -3.58403353566E-002
+2.16788541193E+009, +9.03276707314E-001, -7.36069688773E-003
+2.20678442906E+009, +9.07414451959E-001, -4.59811746898E-002
+2.25242670217E+009, +9.08721898450E-001, -7.90627320325E-002
+2.30582479487E+009, +8.99427086647E-001, -2.45550044765E-002
+2.35922288757E+009, +9.06719250276E-001, -3.27545978359E-002
+2.41262098027E+009, +9.02865630216E-001, -8.29039243055E-002
+2.46601907298E+009, +9.00644682807E-001, -2.40086787579E-002
+2.51941716568E+009, +9.05636169733E-001, -2.32601058049E-002
+2.57281525838E+009, +9.01183858588E-001, -6.36387090661E-002
+2.62621335108E+009, +8.99507605858E-001, -7.24804217292E-003
+2.67961144379E+009, +9.06939533845E-001, +3.96151415543E-003
+2.73300953649E+009, +8.98465272027E-001, -2.73866375502E-002
+2.78640762919E+009, +9.00199875602E-001, +3.08435331590E-003
+2.83980572189E+009, +9.05613783657E-001, +2.29307814607E-003
+2.89320381460E+009, +8.95406378348E-001, -2.17235005320E-002
+2.94660190730E+009, +9.00358891721E-001, -2.71373534842E-003
+3.00000000000E+009, +9.01568212709E-001, -1.76882871031E-003
