"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+007, -9.74926350919E-001, +2.78739704547E-002
+5.11853458461E+007, -9.75070906632E-001, +2.74279738916E-002
+5.23706916923E+007, -9.75209554385E-001, +2.69854002890E-002
+5.35560375384E+007, -9.75321157263E-001, +2.65114978327E-002
+5.47413833845E+007, -9.75422166400E-001, +2.60252323543E-002
+5.59267292306E+007, -9.75495632514E-001, +2.55139236944E-002
+5.71120750768E+007, -9.75552462477E-001, +2.49984274879E-002
+5.82974209229E+007, -9.75593294484E-001, +2.44515630220E-002
+5.94827667690E+007, -9.75617044441E-001, +2.38969943304E-002
+6.06681126151E+007, -9.75731158604E-001, +2.33212560862E-002
+6.18534584613E+007, -9.75897091120E-001, +2.27739127215E-002
+6.30388043074E+007, -9.76049169885E-001, +2.22028634453E-002
+6.42241501535E+007, -9.76218199307E-001, +2.16159338465E-002
+6.54094959996E+007, -9.76354086546E-001, +2.10043388575E-002
+6.65948418458E+007, -9.76474736273E-001, +2.03853938511E-002
+6.79722033673E+007, -9.76612062286E-001, +1.96980187860E-002
+6.96010170503E+007, -9.76759654965E-001, +1.88383452249E-002
+7.12298307333E+007, -9.76992949640E-001, +1.79990466849E-002
+7.28586444162E+007, -9.77211653929E-001, +1.71577831173E-002
+7.44874580992E+007, -9.77391758970E-001, +1.63351292164E-002
+7.61162717822E+007, -9.77554334183E-001, +1.55232182208E-002
+7.77450854652E+007, -9.77668694132E-001, +1.46911445942E-002
+7.93738991482E+007, -9.77747753654E-001, +1.38643430702E-002
+8.10027128312E+007, -9.77859757354E-001, +1.30465808931E-002
+8.26315265142E+007, -9.77978318605E-001, +1.22641911629E-002
+8.42603401972E+007, -9.78069710763E-001, +1.15152827260E-002
+8.58891538801E+007, -9.78137840989E-001, +1.08117166014E-002
+8.75179675631E+007, -9.78172594843E-001, +1.01455782044E-002
+8.91467812461E+007, -9.78188803104E-001, +9.50414856364E-003
+9.07755949291E+007, -9.78139551146E-001, +8.95711272475E-003
+9.24044086121E+007, -9.78134268510E-001, +8.39393942531E-003
+9.43155818098E+007, -9.78087696916E-001, +7.83346364867E-003
+9.65515134723E+007, -9.77955833535E-001, +7.18578060302E-003
+9.87874451347E+007, -9.77797344679E-001, +6.62742733536E-003
+1.01023376797E+008, -9.77571479931E-001, +6.23089067454E-003
+1.03259308460E+008, -9.77348771732E-001, +5.93999804931E-003
+1.05495240122E+008, -9.77066817579E-001, +5.72337233646E-003
+1.07731171785E+008, -9.76695484690E-001, +5.58784582886E-003
+1.09967103447E+008, -9.76276865495E-001, +5.49610778455E-003
+1.12203035110E+008, -9.75811135610E-001, +5.49032341569E-003
+1.14438966772E+008, -9.75280456382E-001, +5.60343546079E-003
+1.16674898434E+008, -9.74710720738E-001, +5.79722459915E-003
+1.18910830097E+008, -9.74102825825E-001, +6.06545414562E-003
+1.21146761759E+008, -9.73429059287E-001, +6.37498760599E-003
+1.23382693422E+008, -9.72753447573E-001, +6.74036670705E-003
+1.25618625084E+008, -9.72048942028E-001, +7.19893411381E-003
+1.28216758150E+008, -9.71227912791E-001, +7.83831577922E-003
+1.31289208353E+008, -9.70197491838E-001, +8.69879745709E-003
+1.34361658556E+008, -9.69198427646E-001, +9.62205991912E-003
+1.37434108760E+008, -9.68140748742E-001, +1.05095419003E-002
+1.40506558963E+008, -9.67138247955E-001, +1.13705899735E-002
+1.43579009167E+008, -9.66157288072E-001, +1.22247064938E-002
+1.46651459370E+008, -9.65259892752E-001, +1.30730575587E-002
+1.49723909573E+008, -9.64437141233E-001, +1.39523551155E-002
+1.52796359777E+008, -9.63550349948E-001, +1.48744319532E-002
+1.55868809980E+008, -9.62708469869E-001, +1.57457135214E-002
+1.58941260184E+008, -9.61976032046E-001, +1.65284475549E-002
+1.62013710387E+008, -9.61328531485E-001, +1.70821928314E-002
+1.65086160591E+008, -9.60794042362E-001, +1.75547498768E-002
+1.68158610794E+008, -9.60389800372E-001, +1.79629032425E-002
