!CSV A.01.01
!Agilent Technologies,E8363C,SG49030112,A.09.42.10
!Agilent E8363C: A.09.42.10
!Date: Friday, June 11, 2021 12:18:48
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
200000000,0.85881722,-0.13412768
205369121.6403,0.85619855,-0.12904862
210882380.61654,0.85634255,-0.1248279
216543646.38317,0.85665607,-0.12186659
222356892.27249,0.85664546,-0.12226296
228326198.28334,0.85651952,-0.12570477
234455753.94459,0.85363531,-0.13393261
240749861.25557,0.84897047,-0.14408898
247212937.7054,0.8418777,-0.15600596
253849519.37338,0.83321148,-0.16414765
260664264.11261,0.82368565,-0.16697918
267661954.81911,0.81765527,-0.16268012
274847502.78863,0.81679589,-0.15265504
282225951.16365,0.82279634,-0.13946442
289802478.47288,0.83486098,-0.12633047
297582402.26578,0.85007071,-0.11442003
305571182.84467,0.86325949,-0.10723151
313774427.09698,0.87079716,-0.10372799
322197892.43048,0.86958027,-0.10468321
330847490.81401,0.86088794,-0.10529098
339729292.92685,0.84699339,-0.10554121
348849532.41933,0.83439201,-0.106661
358214610.28794,0.82640541,-0.11217665
367831099.36777,0.83170921,-0.12319019
377705748.94573,0.84276527,-0.14508708
387845489.49737,0.84722775,-0.18146816
398257437.55113,0.82494038,-0.20955044
408948900.68296,0.80725741,-0.20155053
419927382.64512,0.80647117,-0.17808227
431200588.63269,0.81861234,-0.15287572
442776430.69138,0.82848203,-0.1390101
454663033.27057,0.82963777,-0.13523792
466868738.92545,0.82006764,-0.13867199
479402114.17217,0.81161219,-0.14813024
492271955.5002,0.80989075,-0.16979134
505487295.54614,0.81168723,-0.19704825
519057409.4332,0.82812756,-0.21032664
532991821.28093,0.82336748,-0.21762261
547300310.88963,0.80662483,-0.20972559
561992920.60433,0.81644803,-0.19408599
577079962.36289,0.81956202,-0.19929391
592572024.93341,0.80053949,-0.21825047
608479981.34594,0.7741816,-0.23296516
624814996.5236,0.77002287,-0.24074565
641588535.11869,0.79057139,-0.2534377
658812369.55905,0.80535781,-0.26338452
676498588.31053,0.7978285,-0.24644873
694659604.36117,0.78961498,-0.21584785
713308163.93325,0.78691757,-0.2125247
732457355.42913,0.7748785,-0.23776326
752120618.61728,0.78690213,-0.24384703
772311754.06494,0.81482339,-0.24728537
793044932.82397,0.83413011,-0.25961384
814334706.37674,0.82275236,-0.25278696
836196016.84901,0.8121891,-0.25899419
858644207.49698,0.79601419,-0.32274914
881695033.47592,0.76284647,-0.36042634
905364672.89782,0.78152859,-0.34066683
929669738.1859,0.80329376,-0.33966658
954627287.73402,0.75415009,-0.35045037
980254837.87898,0.72359812,-0.36656782
1006570375.1943,0.72279423,-0.40046698
1033592369.114,0.74315411,-0.37463951
1061339784.8953,0.76183397,-0.36188403
1089832096.9292,0.70533407,-0.38595924
1119089302.4088,0.69423521,-0.40986359
1149131935.3637,0.71539855,-0.40952119
1179981081.0723,0.75183898,-0.36303309
1211658390.86,0.71387351,-0.41933632
1244186097.295,0.68704873,-0.43512139
1277587029.7928,0.73933804,-0.46502846
1311884630.6379,0.70008904,-0.426853
1347102971.4375,0.64998794,-0.46032453
1383266770.0158,0.65206623,-0.46710581
1420401407.7618,0.6810798,-0.46618631
1458532947.4434,0.62681317,-0.44000429
1497688151.4994,0.64621592,-0.47734299
1537894500.8226,0.69725448,-0.50013864
1579180214.0469,0.59234506,-0.48747489
1621574267.3528,0.59290916,-0.56021595
1665106414.8037,0.59385884,-0.54360259
1709807209.2294,0.52054805,-0.52505571
1755708023.6684,0.53076631,-0.58870333
1802841073.388,0.51238841,-0.55061489
1851239438.4938,0.48296592,-0.54970527
1900937087.1467,0.47435993,-0.58456033
1951968899.4039,0.48260486,-0.58551586
2004370691.6988,0.44692886,-0.64379084
2058179241.9787,0.39949149,-0.63547885
2113432315.5173,0.36534134,-0.65003043
2170168691.42,0.35349008,-0.6672231
2228428189.841,0.35847497,-0.69038814
2288251699.9307,0.30876154,-0.71114582
2349681208.5334,0.32368135,-0.68389386
2412759829.6561,0.28266081,-0.69669038
2477531834.7273,0.28946576,-0.67856467
2544042683.6691,0.23391165,-0.70616454
2612339056.8028,0.27948833,-0.69029152
2682468887.6112,0.2454337,-0.73343384
2754481396.3807,0.19527146,-0.69629729
2828427124.7462,0.20661294,-0.71572137
2904357971.1636,0.13320068,-0.71195775
2982327227.3343,0.13423787,-0.70863175
3062389615.608,0.13261618,-0.75510025
3144601327.3889,0.048566174,-0.69215631
3229020062.5739,0.080649264,-0.6604802
3315705070.0485,0.081587747,-0.72756982
3404717189.2707,0.040397253,-0.71528405
3496118892.9707,0.024740962,-0.65424681
3589974330.9972,0.031772356,-0.65576863
3686349375.3406,0.042190917,-0.6651482
3785311666.3648,0.029951744,-0.68055654
3886930660.2806,-0.006288169,-0.67442584
3991277677.8928,-0.039269362,-0.66521972
4098425954.6569,-0.10274944,-0.61051667
4208450692.0784,-0.1554348,-0.61744249
4321429110.4932,-0.17160751,-0.62125903
4437440503.264,-0.17489295,-0.60952634
4556566292.4321,-0.16936155,-0.64749461
4678890085.8628,-0.15504053,-0.66165453
4804497735.9257,-0.13532008,-0.657318
4933477399.7493,-0.12180718,-0.6720928
5065919601.0939,-0.18457776,-0.65310454
5201917293.8851,-0.164887,-0.65370381
5341565927.4533,-0.14622322,-0.62829
5484963513.5241,-0.15896216,-0.60191554
5632210695.0077,-0.2201319,-0.54188585
5783410816.6341,-0.28673822,-0.51861912
5938669997.4857,-0.27881548,-0.57342517
6098097205.4762,-0.28441909,-0.54852515
6261804333.829,-0.36045772,-0.52346033
6429906279.6093,-0.30372411,-0.55243254
6602521024.364,-0.36561427,-0.54785848
6779769716.9262,-0.22810555,-0.58986616
6961776758.4431,-0.29952297,-0.52666926
7148669889.6865,-0.18318452,-0.57972616
7340580280.7068,-0.34996736,-0.51163185
7537642622.8943,-0.27139437,-0.42084712
7739995223.5113,-0.38714251,-0.4556624
7947780102.7631,-0.49228713,-0.35732183
8161143093.4735,-0.46362332,-0.37505546
8380233943.4371,-0.46283975,-0.41211924
8605206420.5195,-0.33800545,-0.45258278
8836218420.5777,-0.29933232,-0.49621743
9073432078.2793,-0.25262493,-0.47106847
9317013880.8956,-0.2918897,-0.38520616
9567134785.15,-0.38746005,-0.24500741
9823970337.203,-0.49454162,-0.17302056
10087700795.859,-0.54190773,-0.32728899
10358511259.078,-0.44558153,-0.499928
10636591793.89,-0.30915496,-0.41161782
10922137569.788,-0.41463315,-0.34766528
11215348995.709,-0.37665713,-0.37608716
11516431860.691,-0.48798707,-0.046755314
11825597478.302,-0.55413312,-0.23120949
12143062834.953,-0.57747489,-0.2935189
12469050742.186,-0.48026663,-0.45938551
12803789993.056,-0.28286794,-0.31344229
13147515522.703,-0.38348335,-0.13505071
13500468573.249,-0.52604765,-0.10666218
13862896863.103,-0.49927837,-0.13311584
14235054760.827,-0.47711161,-0.1729195
14617203463.663,-0.42107686,-0.15085588
15009611180.85,-0.49483594,-0.057251122
15412553321.868,-0.59401,0.011320067
15826312689.732,-0.63792068,-0.15231593
16251179679.474,-0.34480274,-0.37068596
16687452481.962,-0.55390084,-0.096488364
17135437293.173,-0.39801183,0.028360358
17595448529.107,-0.56505698,0.17353886
18067809046.449,-0.37782729,-0.22015069
18552850369.169,-0.28100428,-0.22080895
19050912921.201,-0.36748675,0.0741188
19562346265.364,-0.66220117,0.11655502
20087509348.706,-0.52561694,-0.33019748
20626770754.425,-0.37292612,-0.14852245
21180508960.56,-0.38239303,0.22741631
21749112605.624,-0.62876445,-0.092479706
22332980761.364,-0.50936604,-0.37771764
22932523212.855,-0.4349809,0.23205306
23548160746.099,-0.63333994,0.11722018
24180325443.354,-0.19616646,-0.44451183
24829460986.391,-0.37712634,0.26968369
25496022967.886,-0.52609217,-0.051385328
26180479211.178,-0.44356728,-0.4336271
26883310098.609,-0.50918627,0.32588023
27605008908.675,-0.54533869,-0.40681574
28346082162.236,-0.19096409,0.11886523
29107049978.011,-0.62792212,-0.038761407
29888446437.621,-0.11084577,-0.34806654
30690819960.437,-0.60826504,0.22978418
31514733688.477,-0.13773596,-0.59369791
32360765881.653,-0.44715354,0.1073654
33229510323.611,-0.093273669,-0.54044563
34121576738.487,-0.34463245,-0.035828985
35037591218.825,-0.015226906,-0.56001312
35978196665.009,-0.41769829,-0.060100846
36944053236.475,-0.2534472,-0.44980472
37935838815.036,-0.0019522315,-0.49160394
38954249480.659,0.056751292,-0.51882488
40000000000,0.11117961,-0.19212222
END

