!CSV A.01.01
!Agilent Technologies,E8363C,SG49030112,A.09.42.10
!Agilent E8363C: A.09.42.10
!Date: Tuesday, October 22, 2019 12:13:15
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
200000000,-0.94364542,-0.076546319
205369121.6403,-0.95108211,-0.068295747
210882380.61654,-0.95867044,-0.05926552
216543646.38317,-0.96240097,-0.052673794
222356892.27249,-0.96150523,-0.049575411
228326198.28334,-0.95757353,-0.053145397
234455753.94459,-0.95148832,-0.062911831
240749861.25557,-0.94618624,-0.079396106
247212937.7054,-0.94424587,-0.098948628
253849519.37338,-0.94481945,-0.12081611
260664264.11261,-0.94738358,-0.13988578
267661954.81911,-0.95086193,-0.15477425
274847502.78863,-0.95252877,-0.16189429
282225951.16365,-0.95102674,-0.16207601
289802478.47288,-0.94469142,-0.15648888
297582402.26578,-0.93439746,-0.15203662
305571182.84467,-0.92352378,-0.14986306
313774427.09698,-0.91720933,-0.15112859
322197892.43048,-0.91807234,-0.15270674
330847490.81401,-0.92504448,-0.15540169
339729292.92685,-0.93319094,-0.15601242
348849532.41933,-0.93769979,-0.15827486
358214610.28794,-0.93632603,-0.16364905
367831099.36777,-0.93835336,-0.17904174
377705748.94573,-0.94632882,-0.19499952
387845489.49737,-0.96223843,-0.19026349
398257437.55113,-0.95568109,-0.16094749
408948900.68296,-0.93563426,-0.14358206
419927382.64512,-0.91547608,-0.13286328
431200588.63269,-0.89948887,-0.13065542
442776430.69138,-0.8894344,-0.13672131
454663033.27057,-0.8955884,-0.15092735
466868738.92545,-0.91329336,-0.16819893
479402114.17217,-0.93367809,-0.18316026
492271955.5002,-0.94242436,-0.18899281
505487295.54614,-0.93420464,-0.19695212
519057409.4332,-0.93876231,-0.21564196
532991821.28093,-0.93885499,-0.20497361
547300310.88963,-0.92423433,-0.15453327
561992920.60433,-0.91168743,-0.12967154
577079962.36289,-0.8982302,-0.1330961
592572024.93341,-0.90754247,-0.16053821
608479981.34594,-0.9357428,-0.1867867
624814996.5236,-0.94654661,-0.18923238
641588535.11869,-0.92111331,-0.18037111
658812369.55905,-0.89680123,-0.17671208
676498588.31053,-0.90247422,-0.16751157
694659604.36117,-0.91608524,-0.14795832
713308163.93325,-0.90927315,-0.15645924
732457355.42913,-0.90722781,-0.20386809
752120618.61728,-0.92869413,-0.26692823
772311754.06494,-0.93032503,-0.25450692
793044932.82397,-0.92020333,-0.22216503
814334706.37674,-0.94907504,-0.20178846
836196016.84901,-0.96904439,-0.17712063
858644207.49698,-0.94904935,-0.20310956
881695033.47592,-0.95450056,-0.23580293
905364672.89782,-0.96051139,-0.17626537
929669738.1859,-0.92388856,-0.12762193
954627287.73402,-0.94019765,-0.14452736
980254837.87898,-0.94743025,-0.16520761
1006570375.1943,-0.91563094,-0.20040426
1033592369.114,-0.9200213,-0.17140003
1061339784.8953,-0.90729111,-0.12799735
1089832096.9292,-0.92992097,-0.17136274
1119089302.4088,-0.91997671,-0.20072259
1149131935.3637,-0.89359277,-0.2115209
1179981081.0723,-0.90781778,-0.15685368
1211658390.86,-0.91814697,-0.21440394
1244186097.295,-0.97282314,-0.23200159
1277587029.7928,-0.90166706,-0.1633686
1311884630.6379,-0.93328446,-0.12742287
1347102971.4375,-0.92780763,-0.16549861
1383266770.0158,-0.92155224,-0.16815658
1420401407.7618,-0.86551452,-0.12694444
1458532947.4434,-0.92658687,-0.15383273
1497688151.4994,-0.92923576,-0.19237268
1537894500.8226,-0.89299238,-0.13042586
1579180214.0469,-0.9785428,-0.12068802
1621574267.3528,-0.91552079,-0.11223499
1665106414.8037,-0.90284652,-0.066479892
1709807209.2294,-0.95260525,-0.081772424
1755708023.6684,-0.87272203,-0.098348536
1802841073.388,-0.89468133,-0.088045023
1851239438.4938,-0.90925103,-0.092006877
1900937087.1467,-0.85558283,-0.14222124
1951968899.4039,-0.90831238,-0.11878668
2004370691.6988,-0.91991645,-0.12134516
2058179241.9787,-0.93555379,-0.099963695
2113432315.5173,-0.90573514,-0.11770479
2170168691.42,-0.88912815,-0.1393452
2228428189.841,-0.90518725,-0.10962001
2288251699.9307,-0.90741974,-0.092987992
2349681208.5334,-0.90509856,-0.056628741
2412759829.6561,-0.93120599,-0.080174185
2477531834.7273,-0.93518245,-0.036275011
2544042683.6691,-0.91686219,-0.092488803
2612339056.8028,-0.92517263,-0.028094299
2682468887.6112,-0.94632006,-0.044490524
2754481396.3807,-0.96273702,0.025332175
2828427124.7462,-0.91131866,0.019746352
2904357971.1636,-0.94359452,-0.045393482
2982327227.3343,-0.91058129,-0.053385518
3062389615.608,-0.87073946,-0.07885354
3144601327.3889,-0.93319434,-0.051613521
3229020062.5739,-0.91251123,0.0011494178
3315705070.0485,-0.83369446,0.01162478
3404717189.2707,-0.86220175,-0.01665495
3496118892.9707,-0.92430842,0.03418399
3589974330.9972,-0.88788563,0.065536104
3686349375.3406,-0.85557532,0.058747366
3785311666.3648,-0.84215212,0.029873053
3886930660.2806,-0.90249234,-0.082367569
3991277677.8928,-0.90201944,-0.098015986
4098425954.6569,-0.8920213,-0.10073362
4208450692.0784,-0.86704016,-0.12762974
4321429110.4932,-0.8773945,-0.099238433
4437440503.264,-0.85356039,-0.13233916
4556566292.4321,-0.89673918,-0.19497764
4678890085.8628,-0.91462576,-0.13092352
4804497735.9257,-0.92771643,-0.076138236
4933477399.7493,-0.91661543,-0.024121758
5065919601.0939,-0.85716736,-0.00057760562
5201917293.8851,-0.83531207,0.029737169
5341565927.4533,-0.85883635,0.060122345
5484963513.5241,-0.85777837,0.067732215
5632210695.0077,-0.87475985,-0.011387498
5783410816.6341,-0.87389976,-0.07366024
5938669997.4857,-0.90001976,-0.081587754
6098097205.4762,-0.89178181,-0.12134818
6261804333.829,-0.87419003,-0.20685141
6429906279.6093,-0.91896379,-0.15938564
6602521024.364,-0.85698253,-0.12181296
6779769716.9262,-0.8423478,0.075567991
6961776758.4431,-0.89494175,0.020159589
7148669889.6865,-0.86566436,0.15270852
7340580280.7068,-0.81472319,-0.036003798
7537642622.8943,-0.89858127,-0.051793404
7739995223.5113,-0.79810989,-0.11002785
7947780102.7631,-0.75753576,-0.23864856
8161143093.4735,-0.82311189,-0.18663418
8380233943.4371,-0.84169692,-0.10548451
8605206420.5195,-0.91152251,0.11656047
8836218420.5777,-0.88748538,0.13241796
9073432078.2793,-0.97124386,0.11274465
9317013880.8956,-0.90381014,-0.025245661
9567134785.15,-0.90485018,-0.14612849
9823970337.203,-0.85271335,-0.22802375
10087700795.859,-0.87539989,-0.057127487
10358511259.078,-0.88568729,0.18655069
10636591793.89,-0.95960981,0.095290229
10922137569.788,-0.81371427,-0.025812842
11215348995.709,-0.89242625,-0.0037247993
11516431860.691,-0.80486697,-0.26640639
11825597478.302,-0.86014599,0.0062283939
12143062834.953,-0.86934572,0.25671834
12469050742.186,-0.83522892,0.20242712
12803789993.056,-0.87604445,-0.25453267
13147515522.703,-0.90603644,-0.3340418
13500468573.249,-0.92825365,0.1140181
13862896863.103,-0.76964319,0.25245112
14235054760.827,-0.78200448,0.05694196
14617203463.663,-0.72802836,0.032032423
15009611180.85,-0.80926991,-0.17612213
15412553321.868,-0.89969069,0.28657183
15826312689.732,-0.79508162,0.41287941
16251179679.474,-0.91584283,-0.09711311
16687452481.962,-0.8252874,0.11403403
17135437293.173,-0.81869304,0.14724252
17595448529.107,-0.6621393,0.56204277
18067809046.449,-0.7305268,-0.053834733
18552850369.169,-0.76613963,-0.17304933
19050912921.201,-0.64752471,0.34750816
19562346265.364,-0.84369868,0.45851699
20087509348.706,-0.83925611,-0.18880206
20626770754.425,-0.86488271,0.16667357
21180508960.56,-0.60695505,0.5536983
21749112605.624,-0.85058731,-0.063516624
22332980761.364,-0.89788377,0.086909644
22932523212.855,-0.70171607,0.58318448
23548160746.099,-0.81267542,-0.074296787
24180325443.354,-0.50379843,0.58438462
24829460986.391,-0.8016904,0.41287762
25496022967.886,-0.91132963,-0.13931745
26180479211.178,-0.27225861,0.56890559
26883310098.609,-0.802378,-0.22954616
27605008908.675,-0.7171005,0.25906935
28346082162.236,-0.92033142,0.1204963
29107049978.011,-0.75273198,-0.48277029
29888446437.621,-0.89840609,0.22670226
30690819960.437,-0.6395061,-0.5361895
31514733688.477,-0.68092674,0.48177856
32360765881.653,-0.3363761,-0.77853888
33229510323.611,-0.90508866,0.064125396
34121576738.487,-0.59945124,-0.49390972
35037591218.825,-0.89676678,-0.31911269
35978196665.009,-0.58088619,-0.43424779
36944053236.475,-0.77229768,-0.28801852
37935838815.036,-0.29167223,-0.79171139
38954249480.659,-0.40439698,-0.88206625
40000000000,-0.035246257,-0.74977785
END

